"Original_Term","Standardized_Term","Reference","Description"
"Cx_N",NA,"DosSantos_etal_2020_Table1",NA
"Cx_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"Cx_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"Cx_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"Hp_C",NA,"DosSantos_etal_2020_Table1",NA
"Hp_I",NA,"DosSantos_etal_2020_Table1",NA
"Hp_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"Hp_I/N",NA,"DosSantos_etal_2020_Table1",NA
"Hp_N",NA,"DosSantos_etal_2020_Table1",NA
"Hp_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"Hp_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"Hp_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"P+M_C",NA,"DosSantos_etal_2020_Table1",NA
"P+M_I",NA,"DosSantos_etal_2020_Table1",NA
"P+M_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"P+M_I/N",NA,"DosSantos_etal_2020_Table1",NA
"P+M_N",NA,"DosSantos_etal_2020_Table1",NA
"P+M_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"P+M_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"P+M_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"RoB_C",NA,"DosSantos_etal_2020_Table1",NA
"RoB_I",NA,"DosSantos_etal_2020_Table1",NA
"RoB_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"RoB_I/N",NA,"DosSantos_etal_2020_Table1",NA
"RoB_N",NA,"DosSantos_etal_2020_Table1",NA
"RoB_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"RoB_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"RoB_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"Species",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Order",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex Mass, g",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex Mass, g SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex N, n",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex N, n SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O, n",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O, n SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex N/mg",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex N/mg SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O/mg",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O/mg SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O/N",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex O/N SD",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Cerebral cortex Source",NA,"HerculanoHouzel_etal_2015_Table1",NA
"Species",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Order",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum Mass, g",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum Mass, g SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum N, n",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum N, n SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O, n",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O, n SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum N/mg",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum N/mg SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O/mg",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O/mg SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O/N",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum O/N SD",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Cerebellum Source",NA,"HerculanoHouzel_etal_2015_Table2",NA
"Species",NA,"HerculanoHouzel_etal_2015_Table3",NA
"Order",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB Mass, g",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB Mass, g SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB N, n",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB N, n SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O, n",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O, n SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB N/mg",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB N/mg SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O/mg",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O/mg SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O/N",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB O/N SD",NA,"HerculanoHouzel_etal_2015_Table3",NA
"RoB Source",NA,"HerculanoHouzel_etal_2015_Table3",NA
"Species",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Order",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb n",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb Mass, g",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb Mass, g SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb N, n",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb N, n SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O, n",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O, n SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb N/mg",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb N/mg SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O/mg",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O/mg SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O/N",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb O/N SD",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Olfactory bulb Source",NA,"HerculanoHouzel_etal_2015_Table4",NA
"Species",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Order",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain n",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Body mass, g",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Body mass, g SD",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Brain mass, g",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Brain mass, g SD",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain Neurons",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain Neurons SD",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain Other cells",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain Other cells SD",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain % Neurons",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain % Neurons SD",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Whole brain Source",NA,"HerculanoHouzel_etal_2015_Table5",NA
"Species",NA,"HerculanoHouzel_etal_2020_Table1",NA
"Micro/mega",NA,"HerculanoHouzel_etal_2020_Table1",NA
"Family",NA,"HerculanoHouzel_etal_2020_Table1",NA
"Clade",NA,"HerculanoHouzel_etal_2020_Table1",NA
"n",NA,"HerculanoHouzel_etal_2020_Table1",NA
"MBODY, g",NA,"HerculanoHouzel_etal_2020_Table1",NA
"MBRAIN, g",NA,"HerculanoHouzel_etal_2020_Table1",NA
"NBRAIN",NA,"HerculanoHouzel_etal_2020_Table1",NA
"Species",NA,"HerculanoHouzel_etal_2020_Table2",NA
"Micro/mega",NA,"HerculanoHouzel_etal_2020_Table2",NA
"Family",NA,"HerculanoHouzel_etal_2020_Table2",NA
"NCX",NA,"HerculanoHouzel_etal_2020_Table2",NA
"NCB",NA,"HerculanoHouzel_etal_2020_Table2",NA
"NRoB",NA,"HerculanoHouzel_etal_2020_Table2",NA
"DN,CX",NA,"HerculanoHouzel_etal_2020_Table2",NA
"DN,Cb",NA,"HerculanoHouzel_etal_2020_Table2",NA
"DN,RoB",NA,"HerculanoHouzel_etal_2020_Table2",NA
"Species",NA,"JardimMesseder_etal_2017_Table1",NA
"Common Name",NA,"JardimMesseder_etal_2017_Table1",NA
"MBD..kg",NA,"JardimMesseder_etal_2017_Table1",NA
"MBR..g",NA,"JardimMesseder_etal_2017_Table1",NA
"MCxT..g",NA,"JardimMesseder_etal_2017_Table1",NA
"MHP..g",NA,"JardimMesseder_etal_2017_Table1",NA
"MCB..g",NA,"JardimMesseder_etal_2017_Table1",NA
"MRoB..g",NA,"JardimMesseder_etal_2017_Table1",NA
"MOB..g",NA,"JardimMesseder_etal_2017_Table1",NA
"NBR",NA,"JardimMesseder_etal_2017_Table1",NA
"NCxT",NA,"JardimMesseder_etal_2017_Table1",NA
"NHP",NA,"JardimMesseder_etal_2017_Table1",NA
"NCB",NA,"JardimMesseder_etal_2017_Table1",NA
"NRoB",NA,"JardimMesseder_etal_2017_Table1",NA
"NOB",NA,"JardimMesseder_etal_2017_Table1",NA
"OBR",NA,"JardimMesseder_etal_2017_Table1",NA
"OCxT",NA,"JardimMesseder_etal_2017_Table1",NA
"OHP",NA,"JardimMesseder_etal_2017_Table1",NA
"OCB",NA,"JardimMesseder_etal_2017_Table1",NA
"ORoB",NA,"JardimMesseder_etal_2017_Table1",NA
"OOB",NA,"JardimMesseder_etal_2017_Table1",NA
"DNCxT",NA,"JardimMesseder_etal_2017_Table1",NA
"DNHP",NA,"JardimMesseder_etal_2017_Table1",NA
"DNCB",NA,"JardimMesseder_etal_2017_Table1",NA
"DNRoB",NA,"JardimMesseder_etal_2017_Table1",NA
"DNOB",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NBR",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NCXT",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NHP",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NCB",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NRoB",NA,"JardimMesseder_etal_2017_Table1",NA
"O.NOB",NA,"JardimMesseder_etal_2017_Table1",NA
"Species",NA,"Kverkova_etal_2018_TableS1",NA
"Body mass, g",NA,"Kverkova_etal_2018_TableS1",NA
"Body mass, g SD",NA,"Kverkova_etal_2018_TableS1",NA
"Brain mass, g",NA,"Kverkova_etal_2018_TableS1",NA
"Brain mass, g SD",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory bulbs",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory bulbs SD",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory bulbs percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory cortices mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory cortices mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Olfactory cortices percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Neocortex, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Neocortex, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Neocortex percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Entorhinal cortex, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Entorhinal cortex, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Entorhinal cortex percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Hippocampus, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Hippocampus, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Hippocampus percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Amygdala, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Amygdala, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Amygdala percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Striatum, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Striatum, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Striatum percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Septum, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Septum, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Septum percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Thalamus, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Thalamus, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Thalamus percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Hypothalamus, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Hypothalamus, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Hypothalamus percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Cerebellum, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Cerebellum, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Cerebellum percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Tectum, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Tectum, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Tectum percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Tegmentum, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Tegmentum, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Tegmentum percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Medulla oblongata, mmˆ3",NA,"Kverkova_etal_2018_TableS1",NA
"Medulla oblongata, mmˆ3 SD",NA,"Kverkova_etal_2018_TableS1",NA
"Medulla oblongata percent of brain",NA,"Kverkova_etal_2018_TableS1",NA
"Species",NA,"Kverkova_etal_2018_TableS5",NA
"Whole brain",NA,"Kverkova_etal_2018_TableS5",NA
"Whole brain SD",NA,"Kverkova_etal_2018_TableS5",NA
"Olfactory bulbs",NA,"Kverkova_etal_2018_TableS5",NA
"Olfactory bulbs SD",NA,"Kverkova_etal_2018_TableS5",NA
"Cortex",NA,"Kverkova_etal_2018_TableS5",NA
"Cortex SD",NA,"Kverkova_etal_2018_TableS5",NA
"Subcortical forebrain",NA,"Kverkova_etal_2018_TableS5",NA
"Subcortical forebrain SD",NA,"Kverkova_etal_2018_TableS5",NA
"Cerebellum",NA,"Kverkova_etal_2018_TableS5",NA
"Cerebellum SD",NA,"Kverkova_etal_2018_TableS5",NA
"Brain stem",NA,"Kverkova_etal_2018_TableS5",NA
"Brain stem SD",NA,"Kverkova_etal_2018_TableS5",NA
