Museum,Accession,Genus,Species,Species_binomial,Sex,ECV_ml,Right_foramen_area_mm2,Right_major_diam_mm,Right_minor_diam_mm,Right_radius_from_D_mm,Right_radius_from_area_mm,Left_foramen_area_mm2,Left_major_diam_mm,Left_minor_diam_mm,Left_radius_from_D_mm,Left_radius_from_area_mm
AMNH,AMNH-M-51204,Pan,troglodytes,Pan troglodytes,,,,5.914,3.861,,,,5.82,3.812,,
AMNH,AMNH-M-167344,Pan,troglodytes,Pan troglodytes,,,,4.047,3.293,,,,3.743,3.085,,
SAM,M12786,Pan,troglodytes,Pan troglodytes,M,475,,,,1.9,,,,,1.821,
USNM,267325,Pongo,abelii,Pongo abelii,M,375,19.3345,5.723,4.300000000000001,,2.480798761371124,18.3305,5.454000000000001,4.281499999999999,,2.415528796908034
USNM,143587,Pongo,abelii,Pongo abelii,M,400,19.565,5.5095,4.5215,,2.495542610973787,11.4395,4.2225,3.448,,1.908220622202651
USNM,293165,Pongo,abelii,Pongo abelii,M,400,10.8405,3.9555,3.4895,,1.857589384437633,13.428,4.6075,3.71,,2.067429600174076
USNM,143603,Pongo,abelii,Pongo abelii,F,275,15.2,4.9185,3.9285,,2.199615936929358,14.304,4.831,3.7695,,2.133800508944766
USNM,270807,Pongo,abelii,Pongo abelii,F,325,11.4675,4.326499999999999,3.374,,1.910554532017503,10.945,4.2295,3.2945,,1.866521284175883
USNM,143590,Pongo,abelii,Pongo abelii,M,375,9.361,3.6775,3.238,,1.726180420630029,14.5045,4.579499999999999,4.033,,2.148703270382579
USNM,143593,Pongo,abelii,Pongo abelii,M,350,9.622,4.0645,3.011,,1.75007934816123,13.3235,4.788,3.543,,2.059369264743391
USNM,578647,Pongo,abelii,Pongo abelii,M,425,16.384,5.218,3.9905,,2.283678868675547,18.219,5.595499999999999,4.1415,,2.408171052143615
USNM,143596,Pongo,abelii,Pongo abelii,F,325,9.993500000000001,4.051,3.142,,1.783544181560331,9.1385,3.785,3.0705,,1.705542404893696
USNM,145398,Pongo,abelii,Pongo abelii,F,300,14.4175,4.752000000000001,3.862,,2.142249468212048,8.686499999999999,3.8435,2.873,,1.662828561919568
USNM,143600,Pongo,abelii,Pongo abelii,F,300,10.964,4.3205,3.231,,1.86814067781821,10.637,4.259,3.18,,1.840071264744108
USNM,143597,Pongo,abelii,Pongo abelii,F,300,16.277,4.992,4.140000000000001,,2.276209572384222,13.88,4.863,3.633,,2.101937491989478
USNM,142194,Pongo,pygmaeus,Pongo pygmaeus,M,375,12.0155,4.4245,3.458,,1.95567186343756,13.064,4.6125,3.6055,,2.039215622023586
USNM,153827,Pongo,pygmaeus,Pongo pygmaeus,M,375,12.7955,4.2085,3.87,,2.018151170914779,14.861,4.659,4.060499999999999,,2.174949015167324
USNM,153806,Pongo,pygmaeus,Pongo pygmaeus,M,375,10.391,4.3085,3.068,,1.818669301257315,11.413,4.516,3.2175,,1.90600911094769
USNM,142197,Pongo,pygmaeus,Pongo pygmaeus,M,400,14.953,5.09,3.7395,,2.181670856959459,17.291,5.221,4.217000000000001,,2.346038414434837
USNM,145302,Pongo,pygmaeus,Pongo pygmaeus,F,275,12.12,4.371,3.5295,,1.964157789116634,10.9395,4.082,3.4125,,1.866052250047564
USNM,142185,Pongo,pygmaeus,Pongo pygmaeus,F,300,9.001,3.785,3.027,,1.692662779628683,9.474,3.8735,3.1145,,1.736567839649587
USNM,197664,Pongo,pygmaeus,Pongo pygmaeus,F,350,8.8045,3.63,3.087,,1.674084643291726,9.2055,3.711,3.1575,,1.7117831805649
USNM,153830,Pongo,pygmaeus,Pongo pygmaeus,F,325,10.9735,4.079000000000001,3.424,,1.868949848454428,8.567,3.693,2.954,,1.651351202784112
USNM,399047,Pongo,pygmaeus,Pongo pygmaeus,F,375,12.3595,4.2315,3.7155,,1.983469444757988,9.7195,3.9295,3.1485,,1.75892380129537
USNM,142181,Pongo,pygmaeus,Pongo pygmaeus,M,375,16.898,4.888,4.404,,2.319224106621371,13.769,4.2945,4.0815,,2.093515899835636
SAM,M1380,Pongo,pygmaeus,Pongo pygmaeus,F,325,,,,1.4645,,,,,1.477,
SAM,M1381,Pongo,pygmaeus,Pongo pygmaeus,F,326,,,,1.7035,,,,,1.685,
SAM,M1378,Pongo,pygmaeus,Pongo pygmaeus,F,320,,,,1.866,,,,,1.819,
SAM,M16406,Pongo,pygmaeus,Pongo pygmaeus,F,390,,,,1.954,,,,,1.783,
SAM,M5081,Pongo,pygmaeus,Pongo pygmaeus,F,340,,,,1.421,,,,,1.3225,
SAM,M1383,Pongo,pygmaeus,Pongo pygmaeus,F,330,,,,1.6775,,,,,1.508,
SAM,M6081,Pongo,pygmaeus,Pongo pygmaeus,F,355,,,,1.797,,,,,1.797,
SAM,M1379,Pongo,pygmaeus,Pongo pygmaeus,M,415,,,,1.605,,,,,1.774,
SAM,M1377,Pongo,pygmaeus,Pongo pygmaeus,M,405,,,,2.0485,,,,,1.9675,
SAM,M19886,Pongo,pygmaeus,Pongo pygmaeus,M,405,,,,1.9275,,,,,2.066,
UWits,Za1334,Pongo,sp.,Pongo sp.,,430,10.016,3.695,3.451,,1.785550844982256,10.622,3.936,3.436,,1.838773398503531
UWits,Za93,Pongo,sp.,Pongo sp.,F,320,8.0275,3.532,2.87575,,1.598509496793929,4.891,3.0075,2.061,,1.247739417236195
UWits,MS364,Pongo,sp.,Pongo sp.,M,435,9.796,3.86,3.2315,,1.765832281123101,12.716,4.286,3.7785,,2.011871892719087
