Species_Baron1987,Species_user_csv,Species_MDD,Order_MDD,Family_MDD,Baron_group,name_change,MDD_differs_from_user_csv,needs_review,corroborating_dataset,notes
Desmana moschata,Desmana moschata,Desmana moschata,Eulipotyphla,Talpidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Eulipotyphla,Talpidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Talpa europaea,Talpa europaea,Talpa europaea,Eulipotyphla,Talpidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Tupaia glis,Tupaia glis,Tupaia glis,Scandentia,Tupaiidae,SCANDENTIA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Tupaia minor,Tupaia minor,Tupaia minor,Scandentia,Tupaiidae,SCANDENTIA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Urogale everetti,Urogale everetti,Tupaia everetti,Scandentia,Tupaiidae,SCANDENTIA,genus reassigned: Urogale -> Tupaia (Sargis 2004); MDD 1000544,TRUE,FALSE,Boddy2012; Smaers2021,
Microcebus murinus,Microcebus murinus,Microcebus murinus,Primates,Cheirogaleidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Primates,Cheirogaleidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Primates,Cheirogaleidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Eulemur albifrons,,Eulemur albifrons,Primates,Lemuridae,PROSIMIANS,Lemur -> Eulemur (fulvus/albifrons complex),NA,TRUE,Boddy2012; DeCasien2017; Smaers2021,cf. 1983 'Lemur albifrons' -> Eulemur fulvus
Varecia variegata,Varecia variegata,Varecia variegata,Primates,Lemuridae,PROSIMIANS,unchanged (Baron footnote: Lemur variegatus),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Primates,Lepilemuridae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Avahi laniger laniger,,Avahi laniger,Primates,Indriidae,PROSIMIANS,trinomial -> binomial (Avahi laniger laniger),NA,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Avahi laniger occidentalis,,Avahi occidentalis,Primates,Indriidae,PROSIMIANS,subspecies elevated: A. l. occidentalis -> A. occidentalis,NA,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Primates,Indriidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Indri indri,Indri indri,Indri indri,Primates,Indriidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Daubentonia madagascariensis,,Daubentonia madagascariensis,Primates,Daubentoniidae,PROSIMIANS,abbreviation expanded (madagascar.),NA,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Loris tardigradus,Loris tardigradus,Loris tardigradus,Primates,Lorisidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Primates,Lorisidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Perodicticus potto,Perodicticus potto,Perodicticus potto,Primates,Lorisidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Galago senegalensis,Galago senegalensis,Galago senegalensis,Primates,Galagidae,PROSIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Primates,Galagidae,PROSIMIANS,genus reassigned: Galago -> Otolemur,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Primates,Galagidae,PROSIMIANS,unchanged (remains Galagoides; cf. Paragalago split),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Tarsius sp.,,Tarsius sp.,Primates,Tarsiidae,PROSIMIANS,"genus-level original (Tarsius spp.); genus since split (Cephalopachus, Carlito)",NA,TRUE,Boddy2012; DeCasien2017; Smaers2021,
Callithrix jacchus,Callithrix jacchus,Callithrix jacchus,Primates,Callitrichidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cebuella pygmaea,Callithrix pygmaea,Cebuella pygmaea,Primates,Callitrichidae,SIMIANS,"genus: pygmaea retained in Cebuella (MDD), not Callithrix",TRUE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Saguinus midas,,Saguinus midas,Primates,Callitrichidae,SIMIANS,unchanged (Baron footnote: Saguinus tamarin),NA,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Primates,Callitrichidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Callimico goeldii,Callimico goeldii,Callimico goeldii,Primates,Callitrichidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cebus albifrons,Cebus albifrons,Cebus albifrons,Primates,Cebidae,SIMIANS,genus-level original (Cebus spp.); species assigned by user,FALSE,TRUE,Boddy2012; DeCasien2017; Smaers2021,
Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Primates,Aotidae,SIMIANS,family update: Cebidae -> Aotidae,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Callicebus moloch,Callicebus moloch,Plecturocebus moloch,Primates,Pitheciidae,SIMIANS,genus reassigned: Callicebus -> Plecturocebus (Byrne et al. 2016),TRUE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Primates,Cebidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Pithecia monachus,Pithecia monachus,Pithecia monachus,Primates,Pitheciidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Alouatta seniculus,Alouatta seniculus,Alouatta seniculus,Primates,Atelidae,SIMIANS,genus-level original (Alouatta spp.); species assigned by user,FALSE,TRUE,Boddy2012; DeCasien2017; Smaers2021,
Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Primates,Atelidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Primates,Atelidae,SIMIANS,unchanged (accepted spelling lagothricha),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Macaca mulatta,Macaca mulatta,Macaca mulatta,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cercocebus albigena,Lophocebus albigena,Lophocebus albigena,Primates,Cercopithecidae,SIMIANS,genus reassigned: Cercocebus -> Lophocebus,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Papio anubis,Papio anubis,Papio anubis,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Primates,Cercopithecidae,SIMIANS,genus reassigned: Cercopithecus -> Miopithecus,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Procolobus badius,,Piliocolobus badius,Primates,Cercopithecidae,SIMIANS,genus: Procolobus -> Piliocolobus,NA,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Primates,Cercopithecidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Hylobates lar,Hylobates lar,Hylobates lar,Primates,Hylobatidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Pan troglodytes,Pan troglodytes,Pan troglodytes,Primates,Hominidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
Gorilla gorilla,Gorilla sp.,Gorilla gorilla,Primates,Hominidae,SIMIANS,unchanged from Baron (genus Gorilla now split: G. gorilla / G. beringei),TRUE,TRUE,Boddy2012; DeCasien2017; Smaers2021,
Homo sapiens,Homo sapiens,Homo sapiens,Primates,Hominidae,SIMIANS,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
