"Species","Species_raw","measure_class","Measure","Units","Value_canonical","raw_value","raw_unit","Source","first_author","Year","Team","role"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","140","140","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","125","125","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","188","188","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","157","157","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","155","155","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","140","140","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","190","190","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","104.5","104.5","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","214","214","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","174","174","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","183","183","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","180","180","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","163","163","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","192","192","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","113","113","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","205","205","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","166","166","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","208","208","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","161","161","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","184","184","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","180","180","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","186","186","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","155","155","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","176","176","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","235","235","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","184","184","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","184","184","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","184","184","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","185","185","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","164","164","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","142","142","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","232","232","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","188","188","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","206","206","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","209","209","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","207","207","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","236","236","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","152","152","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","229","229","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","234","234","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","202","202","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","200","200","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","211","211","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","201","201","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","152","152","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","205","205","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","194","194","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","198","198","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","237","237","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","201","201","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","246","246","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","173","173","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","180","180","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","134","134","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","145","145","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","165","165","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","168","168","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","112","112","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","177","177","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","214","214","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","294","294","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","153","153","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","160","160","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","145","145","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","200","200","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","157","157","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","190","190","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","164","164","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","226","226","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","150","150","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","181","181","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","177","177","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","212","212","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","212","212","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","147","147","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","205","205","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","217","217","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","197","197","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","218","218","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","142","142","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","256","256","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","154","154","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","206","206","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","169","169","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","148","148","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","254","254","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","153","153","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","198","198","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","206","206","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","194","194","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","197","197","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","178","178","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","142","142","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","232","232","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","167","167","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","181","181","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","183","183","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","151","151","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","216","216","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","184","184","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","178","178","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","174","174","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","220","220","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","162","162","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","173","173","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","208","208","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","212","212","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","201","201","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","216","216","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","202","202","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","215","215","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","223","223","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","195","195","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","211","211","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","217","217","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","167","167","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","194","194","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","231","231","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","209","209","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","170","170","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","220","220","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","212","212","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","183","183","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","240","240","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","236","236","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","228","228","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","232","232","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","212","212","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","177","177","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","200","200","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","213","213","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","202","202","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","205","205","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","202","202","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","172","172","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","154","154","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","220","220","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","182","182","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","134","134","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","135","135","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","181","181","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","190","190","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","232","232","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","236","236","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","186","186","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","188","188","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","237","237","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","193","193","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","214","214","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","245","245","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","248","248","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","206","206","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","168","168","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","140","140","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","175","175","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","213","213","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
"Galago senegalensis group","Galago senegalensis group","mass","Body_Mass","g","158","158","g","10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","Isler","2008","Isler","secondary"
