Species,Variable,flag,detail
Pithecia pithecia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebus albifrons,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Colobus angolensis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates lar,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Indri indri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Loris tardigradus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Macaca maura,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Perodicticus potto,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Varecia variegata,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Alouatta seniculus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Aotus trivirgatus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Avahi laniger,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Callicebus moloch,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Callimico goeldii,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Callithrix jacchus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Callithrix pygmaea,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Cebus albifrons,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Cheirogaleus major,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Cheirogaleus medius,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Daubentonia madagascariensis,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Erythrocebus patas,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Eulemur fulvus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Galago senegalensis,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Gorilla sp.,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Homo sapiens,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Hylobates lar,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Indri indri,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Loris tardigradus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Macaca mulatta,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Microcebus murinus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Miopithecus talapoin,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Nasalis larvatus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Nycticebus coucang,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Pan paniscus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Pan troglodytes,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Papio anubis,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Perodicticus potto,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Pithecia monachus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Pongo sp.,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Propithecus verreauxi,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Pygathrix nemaeus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Saguinus midas,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Saimiri sciureus,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Tarsius sp.,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Varecia variegata,Trigeminal_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Trigeminal_motor_nucleus_left_Vol.mm3 (only one side measured)
Alouatta seniculus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Aotus trivirgatus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Avahi laniger,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Callicebus moloch,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Callimico goeldii,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Callithrix jacchus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Callithrix pygmaea,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Cebus albifrons,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Cheirogaleus major,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
