Original_Term,Reference,Standardized_Term
amygdala_mm3,Barks_etal_2014_unpublishedviaDeCasien,Amygdala_Vol.mm3
insula_GM_mm3,Barks_etal_2014_unpublishedviaDeCasien,Insula_Vol.mm3
Species,Baron_etal_1983_Table1,Species
volume_mm3,Baron_etal_1983_Table1,Bulbus_olfactorius_Vol.mm3
Species,Baron_etal_1987_Table1,Species
BOL,Baron_etal_1987_Table1,Bulbus_olfactorius_Vol.mm3
RB,Baron_etal_1987_Table1,Retrobulbar_cortex_Vol.mm3
PRPI,Baron_etal_1987_Table1,Prepiriform_cortex_Vol.mm3
TOL,Baron_etal_1987_Table1,Tuberculum_olfactorium_Vol.mm3
TRL,Baron_etal_1987_Table1,Tractus_olfactorius_lateralis_Vol.mm3
COA,Baron_etal_1987_Table1,Commissura_anterior_Vol.mm3
SIN,Baron_etal_1987_Table1,Substantia_innominata_Vol.mm3
Species,Baron_etal_1988_Table1,Species
VC,Baron_etal_1988_Table1,Complexus_vestibularis_Vol.mm3
VS,Baron_etal_1988_Table1,Nucleus_vestibularis_superior_Vol.mm3
VL,Baron_etal_1988_Table1,Nucleus_vestibularis_lateralis_Vol.mm3
VM,Baron_etal_1988_Table1,Nucleus_vestibularis_medialis_Vol.mm3
VI,Baron_etal_1988_Table1,Nucleus_vestibularis_descendens_Vol.mm3
Species,Baron_etal_1990_Table1,Species
Complexus_sensorius_trigeminalis_mm3,Baron_etal_1990_Table1,Complexus_sensorius_trigeminalis_Vol.mm3
Species,Bauernfeind_etal_2013_Table1,Species
body_mass_g,Bauernfeind_etal_2013_Table1,Body_Mass.g
brain_mass_mg,Bauernfeind_etal_2013_Table1,Brain_Mass.mg
brain_volume_mm3,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3
granular_L_mm3,Bauernfeind_etal_2013_Table1,Granular_insular_cortex_left_Vol.mm3
dysgranular_L_mm3,Bauernfeind_etal_2013_Table1,Dysgranular_insular_cortex_left_Vol.mm3
agranular_L_mm3,Bauernfeind_etal_2013_Table1,Agranular_insular_cortex_left_Vol.mm3
FI_L_mm3,Bauernfeind_etal_2013_Table1,fronto_insular_cortex_left_Vol.mm3
total_insula_L_mm3,Bauernfeind_etal_2013_Table1,Insula_left_Vol.mm3
Species,Bauernfeind_etal_2013_Table2,Species
granular_R_mm3,Bauernfeind_etal_2013_Table2,Granular_insular_cortex_right_Vol.mm3
dysgranular_R_mm3,Bauernfeind_etal_2013_Table2,Dysgranular_insular_cortex_right_Vol.mm3
agranular_R_mm3,Bauernfeind_etal_2013_Table2,Agranular_insular_cortex_right_Vol.mm3
FI_R_mm3,Bauernfeind_etal_2013_Table2,fronto_insular_cortex_right_Vol.mm3
total_insula_R_mm3,Bauernfeind_etal_2013_Table2,Insula_right_Vol.mm3
Species,Bush_Allman_2003_Table1,Species
cer_white_cm3,Bush_Allman_2003_Table1,Cerebellum_white_matter_Vol.mm3
cer_gray_cm3,Bush_Allman_2003_Table1,Cerebellum_grey_matter_Vol.mm3
neo_white_cm3,Bush_Allman_2003_Table1,Neocortex_white_matter_Vol.mm3
neo_gray_cm3,Bush_Allman_2003_Table1,Neocortex_grey_matter_Vol.mm3
species,Bush_Allman_2004_a_Table2,Species
whole_brain_cm3,Bush_Allman_2004_a_Table2,Total_brain_net_volume_Vol.mm3
neocortex_grey_cm3,Bush_Allman_2004_a_Table2,Neocortex_grey_matter_Vol.mm3
neocortex_white_cm3,Bush_Allman_2004_a_Table2,Neocortex_white_matter_Vol.mm3
neocortex_GMWM_cm3,Bush_Allman_2004_a_Table2,Neocortex_Vol.mm3
Species,Bush_Allman_2004_b_TABLE1,Species
V1_grey_cm3,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3
LGN_cm3,Bush_Allman_2004_b_TABLE1,Corpus_geniculatum_laterale_Vol.mm3
whole_brain_cm3,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3
neocortex_white_cm3,Bush_Allman_2004_b_TABLE1,Neocortex_white_matter_Vol.mm3
neocortex_grey_cm3,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3
species,deSousa_etal_2010_SupTable2,Species
brain_volume_cm3,deSousa_etal_2010_SupTable2,Total_brain_net_volume_Vol.mm3
neocortex_volume_cm3,deSousa_etal_2010_SupTable2,Neocortex_Vol.mm3
V1_area_striata_volume_cm3,deSousa_etal_2010_SupTable2,Area_striata_grey_matter_Vol.mm3
LGN_volume_cm3,deSousa_etal_2010_SupTable2,Corpus_geniculatum_laterale_Vol.mm3
species,deSousa_etal_2010_Table1,Species
neocortex_volume_cm3,deSousa_etal_2010_Table1,Neocortex_Vol.mm3
left_V1_volume_cm3,deSousa_etal_2010_Table1,Area_striata_grey_matter_left_Vol.mm3
left_LGN_volume_cm3,deSousa_etal_2010_Table1,Corpus_geniculatum_laterale_left_Vol.mm3
brain_volume_cm3,deSousa_etal_2010_Table1,Total_brain_net_volume_Vol.mm3
Species,deSousa_etal_2013_Table1,Species
Corpus_geniculatum_laterale_mm3,deSousa_etal_2013_Table1,Corpus_geniculatum_laterale_Vol.mm3
brain_weight_mg,deSousa_etal_2013_Table1,Brain_Mass.mg
Species,Frahm_etal_1982_Table2,Species
total_neocortex_mm3,Frahm_etal_1982_Table2,Neocortex_Vol.mm3
white_matter_mm3,Frahm_etal_1982_Table2,Neocortex_white_matter_Vol.mm3
grey_matter_mm3,Frahm_etal_1982_Table2,Neocortex_grey_matter_Vol.mm3
lamina_1_mm3,Frahm_etal_1982_Table2,Neocortex_lamina_1_Vol.mm3
laminae_2_6_mm3,Frahm_etal_1982_Table2,Neocortex_laminae_2_6_Vol.mm3
Species,Frahm_etal_1984_Table1,Species
Area_striata_mm3,Frahm_etal_1984_Table1,Area_striata_Vol.mm3
Area_striata_grey_matter_mm3,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3
Area_striata_lamina_1_mm3,Frahm_etal_1984_Table1,Area_striata_lamina_1_Vol.mm3
Area_striata_laminae_2_6_mm3,Frahm_etal_1984_Table1,Area_striata_laminae_2_6_Vol.mm3
Area_striata_white_matter_mm3,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3
Species,Frahm_etal_1997_Table1,Species
body_weight_g,Frahm_etal_1997_Table1,Body_Mass.g
brain_weight_mg,Frahm_etal_1997_Table1,Brain_Mass.mg
Cerebellum_mm3,Frahm_etal_1997_Table1,Cerebellum_Vol.mm3
Diencephalon_mm3,Frahm_etal_1997_Table1,Diencephalon_Vol.mm3
Telencephalon_mm3,Frahm_etal_1997_Table1,Telencephalon_Vol.mm3
Bulbus_olfactorius_mm3,Frahm_etal_1997_Table1,Bulbus_olfactorius_Vol.mm3
Septum_mm3,Frahm_etal_1997_Table1,Septum_Vol.mm3
Striatum_mm3,Frahm_etal_1997_Table1,Striatum_Vol.mm3
Schizo_cortex_mm3,Frahm_etal_1997_Table1,Schizo_cortex_Vol.mm3
Hippocampus_mm3,Frahm_etal_1997_Table1,Hippocampus_Vol.mm3
Neocortex_mm3,Frahm_etal_1997_Table1,Neocortex_Vol.mm3
Palaeocortex_mm3,Frahm_etal_1997_Table1,Palaeocortex_Vol.mm3
Amygdala_mm3,Frahm_etal_1997_Table1,Amygdala_Vol.mm3
Species,Frahm_etal_1998_Table1,Species
Middle_temporal_visual_area_mm3,Frahm_etal_1998_Table1,Middle_temporal_visual_area_Vol.mm3
Area_striata_grey_matter_mm3,Frahm_etal_1998_Table1,Area_striata_grey_matter_Vol.mm3
Corpus_geniculatum_laterale_mm3,Frahm_etal_1998_Table1,Corpus_geniculatum_laterale_Vol.mm3
body_weight_g,Frahm_etal_1998_Table1,Body_Mass.g
brain_weight_mg,Frahm_etal_1998_Table1,Brain_Mass.mg
Species,Frahm_Zilles_1994_Table1,Species
body_weight_g,Frahm_Zilles_1994_Table1,Body_Mass.g
hippocampus_total_mm3,Frahm_Zilles_1994_Table1,Hippocampus_Vol.mm3
HP_HS_fibers_mm3,Frahm_Zilles_1994_Table1,HP_HS_fibers_Vol.mm3
hippocampus_retrocommissuralis_mm3,Frahm_Zilles_1994_Table1,Hippocampus_retrocommissuralis_Vol.mm3
subiculum_mm3,Frahm_Zilles_1994_Table1,Subiculum_Vol.mm3
CA1_mm3,Frahm_Zilles_1994_Table1,CA1_Vol.mm3
CA2_mm3,Frahm_Zilles_1994_Table1,CA2_Vol.mm3
CA3_mm3,Frahm_Zilles_1994_Table1,CA3_Vol.mm3
hilus_mm3,Frahm_Zilles_1994_Table1,Hilus_Vol.mm3
fascia_dentata_mm3,Frahm_Zilles_1994_Table1,Fascia_dentata_Vol.mm3
Species,MacLeod_etal_2003_,Species
cerebellum_volume_cm3,MacLeod_etal_2003_,Cerebellum_Vol.mm3
vermis_volume_cm3,MacLeod_etal_2003_,CerebellarVermis_Vol.mm3
hemisphere_volume_cm3,MacLeod_etal_2003_,CerebellarHemisphere_Vol.mm3
brain_volume_cm3,MacLeod_etal_2003_,Total_brain_net_volume_Vol.mm3
Species,MacLeod_etal_2003_Table1,Species
cerebellum_volume_cm3,MacLeod_etal_2003_Table1,Cerebellum_Vol.mm3
vermis_volume_cm3,MacLeod_etal_2003_Table1,CerebellarVermis_Vol.mm3
hemisphere_volume_cm3,MacLeod_etal_2003_Table1,CerebellarHemisphere_Vol.mm3
brain_volume_cm3,MacLeod_etal_2003_Table1,Total_brain_net_volume_Vol.mm3
Species,MacLeod_etal_2003_Table2,Species
cerebellum_volume_cm3,MacLeod_etal_2003_Table2,Cerebellum_Vol.mm3
vermis_volume_cm3,MacLeod_etal_2003_Table2,CerebellarVermis_Vol.mm3
hemisphere_volume_cm3,MacLeod_etal_2003_Table2,CerebellarHemisphere_Vol.mm3
brain_volume_cm3,MacLeod_etal_2003_Table2,Total_brain_net_volume_Vol.mm3
Species,Matano_etal_1985_a_Table1,Species
body_weight_g,Matano_etal_1985_a_Table1,Body_Mass.g
TCN_mm3,Matano_etal_1985_a_Table1,Cerebellar_nuclei_total_Vol.mm3
MCN_mm3,Matano_etal_1985_a_Table1,Medial_cerebellar_nuclei_Vol.mm3
ICN_mm3,Matano_etal_1985_a_Table1,Interpositus_cerebellar_nuclei_Vol.mm3
LCN_mm3,Matano_etal_1985_a_Table1,Lateral_cerebellar_nuclei_Vol.mm3
Species,Matano_etal_1985_b_Table1,Species
body_weight_g,Matano_etal_1985_b_Table1,Body_Mass.g
ventral_pons_mm3,Matano_etal_1985_b_Table1,Ventral_pons_Vol.mm3
Species,Rilling_Insel_1998_Table1,Species
brain_volume_cc,Rilling_Insel_1998_Table1,Total_brain_net_volume_Vol.mm3
cerebellum_volume_cc,Rilling_Insel_1998_Table1,Cerebellum_Vol.mm3
body_weight_kg,Rilling_Insel_1998_Table1,Body_Mass.g
Species,Rilling_Insel_1999_Table1,Species
Neocortex_GMWM,Rilling_Insel_1999_Table1,Neocortex_Vol.mm3
neocortical_gray_matter_cc_mean,Rilling_Insel_1999_Table1,Neocortex_grey_matter_Vol.mm3
cerebral_white_matter_cc_mean,Rilling_Insel_1999_Table1,Neocortex_white_matter_Vol.mm3
brain_volume_cc_mean,Rilling_Insel_1999_Table1,Total_brain_net_volume_Vol.mm3
body_weight_kg_mean,Rilling_Insel_1999_Table1,Body_Mass.g
spinal_cord_area_mm2_mean,Rilling_Insel_1999_Table1,Spinal_cord_area.mm2
neocortical_gray_matter_cc_sd,Rilling_Insel_1999_Table1,Neocortex_grey_matter_Vol.mm3_SD
cerebral_white_matter_cc_sd,Rilling_Insel_1999_Table1,Neocortex_white_matter_Vol.mm3_SD
brain_volume_cc_sd,Rilling_Insel_1999_Table1,Total_brain_net_volume_Vol.mm3_SD
body_weight_kg_sd,Rilling_Insel_1999_Table1,Body_Mass.g_SD
spinal_cord_area_mm2_sd,Rilling_Insel_1999_Table1,Spinal_cord_area.mm2_SD
Species,Semendeferi_etal_1998_Table2,Species
area13_volume_mm3,Semendeferi_etal_1998_Table2,Area_13_right_Vol.mm3
Species,Semendeferi_etal_2001_Table2,Species
area10_volume_mm3,Semendeferi_etal_2001_Table2,Area_10_right_Vol.mm3
Species,Sherwood_etal_2004_TABLEI,Species
Whole Brain,Sherwood_etal_2004_TABLEI,Total_brain_net_volume_Vol.mm3
Neocortex,Sherwood_etal_2004_TABLEI,Neocortex_Vol.mm3
Hippocampus,Sherwood_etal_2004_TABLEI,Hippocampus_Vol.mm3
Striatum,Sherwood_etal_2004_TABLEI,Striatum_Vol.mm3
Thalamus,Sherwood_etal_2004_TABLEI,Thalamus_Vol.mm3
Cerebellum,Sherwood_etal_2004_TABLEI,Cerebellum_Vol.mm3
species,Sherwood_etal_2004_unpublishedviaDeCasien,Species
brain_volume_mm3,Sherwood_etal_2004_unpublishedviaDeCasien,Total_brain_net_volume_Vol.mm3
thalamus_mm3,Sherwood_etal_2004_unpublishedviaDeCasien,Thalamus_Vol.mm3
Species,Sherwood_etal_2005_Table1,Species
medulla_oblongata_mm3,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3
trigeminal_motor_Vmo_mm3,Sherwood_etal_2005_Table1,Trigeminal_motor_nucleus_left_Vol.mm3
facial_VII_mm3,Sherwood_etal_2005_Table1,Facial_motor_nucleus_left_Vol.mm3
hypoglossal_XII_mm3,Sherwood_etal_2005_Table1,Hypoglossal_nucleus_left_Vol.mm3
Species,Smaers_etal_2011_SupplementaryTable1,Species
frontal_white_total_cm3,Smaers_etal_2011_SupplementaryTable1,FrontalCortex_white_matter_Vol.mm3
frontal_grey_total_cm3,Smaers_etal_2011_SupplementaryTable1,FrontalCortex_grey_matter_Vol.mm3
Species,Stephan_etal_1970_Tables1-6,Species
body_weight_g,Stephan_etal_1970_Tables1-6,Body_Mass.g
brain_weight_mg,Stephan_etal_1970_Tables1-6,Brain_Mass.mg
total_brain_net_mm3,Stephan_etal_1970_Tables1-6,Total_brain_net_volume_Vol.mm3
medulla_oblongata_mm3,Stephan_etal_1970_Tables1-6,Medulla_oblongata_Vol.mm3
cerebellum_mm3,Stephan_etal_1970_Tables1-6,Cerebellum_Vol.mm3
mesencephalon_mm3,Stephan_etal_1970_Tables1-6,Mesencephalon_Vol.mm3
diencephalon_mm3,Stephan_etal_1970_Tables1-6,Diencephalon_Vol.mm3
telencephalon_mm3,Stephan_etal_1970_Tables1-6,Telencephalon_Vol.mm3
bulbus_olfactorius_mm3,Stephan_etal_1970_Tables1-6,Bulbus_olfactorius_Vol.mm3
palaeocortex_plus_amygdala_mm3,Stephan_etal_1970_Tables1-6,Palaeocortex_plus_amygdala_Vol.mm3
septum_mm3,Stephan_etal_1970_Tables1-6,Septum_Vol.mm3
striatum_mm3,Stephan_etal_1970_Tables1-6,Striatum_Vol.mm3
schizocortex_mm3,Stephan_etal_1970_Tables1-6,Schizo_cortex_Vol.mm3
hippocampus_mm3,Stephan_etal_1970_Tables1-6,Hippocampus_Vol.mm3
neocortex_mm3,Stephan_etal_1970_Tables1-6,Neocortex_Vol.mm3
Species,Stephan_etal_1981_TablesI-VI,Species
Body_weight,Stephan_etal_1981_TablesI-VI,Body_Mass.g
Brain_weight,Stephan_etal_1981_TablesI-VI,Brain_Mass.mg
Total_brain_net_volume,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3
Ventricles,Stephan_etal_1981_TablesI-VI,Ventricles_Vol.mm3
Medulla_oblongata,Stephan_etal_1981_TablesI-VI,Medulla_oblongata_Vol.mm3
Cerebellum,Stephan_etal_1981_TablesI-VI,Cerebellum_Vol.mm3
Mesencephalon,Stephan_etal_1981_TablesI-VI,Mesencephalon_Vol.mm3
Diencephalon,Stephan_etal_1981_TablesI-VI,Diencephalon_Vol.mm3
Telencephalon,Stephan_etal_1981_TablesI-VI,Telencephalon_Vol.mm3
Bulbus_olfactorius,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_Vol.mm3
Bulbus_olfactorius_accessorius,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_accessorius_Vol.mm3
Lobus_piriformis,Stephan_etal_1981_TablesI-VI,Lobus_piriformis_Vol.mm3
Septum,Stephan_etal_1981_TablesI-VI,Septum_Vol.mm3
Striatum,Stephan_etal_1981_TablesI-VI,Striatum_Vol.mm3
Schizo_cortex,Stephan_etal_1981_TablesI-VI,Schizo_cortex_Vol.mm3
Hippocampus,Stephan_etal_1981_TablesI-VI,Hippocampus_Vol.mm3
Neocortex,Stephan_etal_1981_TablesI-VI,Neocortex_Vol.mm3
Epithalamus,Stephan_etal_1981_TablesI-VI,Epithalamus_Vol.mm3
Thalamus,Stephan_etal_1981_TablesI-VI,Thalamus_Vol.mm3
Hypothalamus,Stephan_etal_1981_TablesI-VI,Hypothalamus_Vol.mm3
Subthalamus,Stephan_etal_1981_TablesI-VI,Subthalamus_Vol.mm3
Pallidum,Stephan_etal_1981_TablesI-VI,Pallidum_Vol.mm3
Nucleus_subthalamicus,Stephan_etal_1981_TablesI-VI,Nucleus_subthalamicus_Vol.mm3
Capsula_interna,Stephan_etal_1981_TablesI-VI,Capsula_interna_Vol.mm3
Tractus_opticus,Stephan_etal_1981_TablesI-VI,Tractus_opticus_Vol.mm3
Area_striata,Stephan_etal_1981_TablesI-VI,Area_striata_Vol.mm3
Corpus_geniculatum_laterale,Stephan_etal_1981_TablesI-VI,Corpus_geniculatum_laterale_Vol.mm3
Palaeocortex,Stephan_etal_1981_TablesI-VI,Palaeocortex_Vol.mm3
Amygdala,Stephan_etal_1981_TablesI-VI,Amygdala_Vol.mm3
Complexus_centromedialis,Stephan_etal_1981_TablesI-VI,Complexus_centromedialis_Vol.mm3
Nucleus_tractus_olfactorius,Stephan_etal_1981_TablesI-VI,Nucleus_tractus_olfactorius_Vol.mm3
Complexus_corticobasolateralis,Stephan_etal_1981_TablesI-VI,Complexus_corticobasolateralis_Vol.mm3
Nucleus_amygdalae_basalis_pars_magnocellularis,Stephan_etal_1981_TablesI-VI,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3
Complexus_vestibularis_unilateral,Stephan_etal_1981_TablesI-VI,Complexus_vestibularis_unilateral_Vol.mm3
Nucleus_vestibularis_superior_unilateral,Stephan_etal_1981_TablesI-VI,Nucleus_vestibularis_superior_unilateral_Vol.mm3
Nucleus_vestibularis_lateralis_unilateral,Stephan_etal_1981_TablesI-VI,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3
Nucleus_vestibularis_medialis_unilateral,Stephan_etal_1981_TablesI-VI,Nucleus_vestibularis_medialis_unilateral_Vol.mm3
Nucleus_vestibularis_descendens_unilateral,Stephan_etal_1981_TablesI-VI,Nucleus_vestibularis_descendens_unilateral_Vol.mm3
Nucleus_septalis_triangularis,Stephan_etal_1981_TablesI-VI,Nucleus_septalis_triangularis_Vol.mm3
Corpus_subfornicale,Stephan_etal_1981_TablesI-VI,Corpus_subfornicale_Vol.mm3
Nucleus_habenularis_medialis,Stephan_etal_1981_TablesI-VI,Nucleus_habenularis_medialis_Vol.mm3
Corpus_pineal,Stephan_etal_1981_TablesI-VI,Corpus_pineal_Vol.mm3
Corpus_subcommissurale,Stephan_etal_1981_TablesI-VI,Corpus_subcommissurale_Vol.mm3
Species,Stephan_etal_1982_Table1,Species
AOB_volume_mm3,Stephan_etal_1982_Table1,AccessoryOlfactoryBulb_Vol.mm3
AOB_layer_1_2_mm3,Stephan_etal_1982_Table1,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3
AOB_layer_3_5_mm3,Stephan_etal_1982_Table1,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3
AOB_layer_6_mm3,Stephan_etal_1982_Table1,AccessoryOlfactoryBulb_layer_6_Vol.mm3
Species,Stephan_etal_1984_Table1,Species
Corpus_geniculatum_laterale_mm3,Stephan_etal_1984_Table1,Corpus_geniculatum_laterale_Vol.mm3
Species,Stephan_etal_1987_Table1,Species
Amygdala_mm3,Stephan_etal_1987_Table1,Amygdala_Vol.mm3
Complexus_centromedialis_mm3,Stephan_etal_1987_Table1,Complexus_centromedialis_Vol.mm3
Complexus_corticobasolateralis_mm3,Stephan_etal_1987_Table1,Complexus_corticobasolateralis_Vol.mm3
Nucleus_amygdalae_basalis_pars_magnocellularis_mm3,Stephan_etal_1987_Table1,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3
Nucleus_tractus_olfactorius_mm3,Stephan_etal_1987_Table1,Nucleus_tractus_olfactorius_Vol.mm3
Species,Stimpson_etal_2015_TableS1,Species
brain_mass_g,Stimpson_etal_2015_TableS1,Brain_Mass.mg
Species,Stimpson_etal_2015_TableS2,Species
Whole_amygdala,Stimpson_etal_2015_TableS2,Amygdala_Vol.mm3
Lateral_nucleus,Stimpson_etal_2015_TableS2,Amygdala_lateral_nucleus_Vol.mm3
Basal_nucleus,Stimpson_etal_2015_TableS2,Amygdala_basal_nucleus_Vol.mm3
Accessory_basal_nucleus,Stimpson_etal_2015_TableS2,Amygdala_accessory_basal_nucleus_Vol.mm3
Central_nucleus,Stimpson_etal_2015_TableS2,Amygdala_central_nucleus_Vol.mm3
Species,Zilles_Rehkämper_1988_Table12-2,Species
Medulla oblongata,Zilles_Rehkämper_1988_Table12-2,Medulla_oblongata_Vol.mm3
Cerebellum (without pons),Zilles_Rehkämper_1988_Table12-2,Cerebellum_Vol.mm3
Pons,Zilles_Rehkämper_1988_Table12-2,Pons_Vol.mm3
Mesencephalon,Zilles_Rehkämper_1988_Table12-2,Mesencephalon_Vol.mm3
Diencephalon,Zilles_Rehkämper_1988_Table12-2,Diencephalon_Vol.mm3
Telencephalon,Zilles_Rehkämper_1988_Table12-2,Telencephalon_Vol.mm3
Neocortex,Zilles_Rehkämper_1988_Table12-2,Neocortex_Vol.mm3
Gray (without area striata),Zilles_Rehkämper_1988_Table12-2,Neocortex_grey_matter_Vol.mm3
Gray area striata,Zilles_Rehkämper_1988_Table12-2,Area_striata_grey_matter_Vol.mm3
White matter,Zilles_Rehkämper_1988_Table12-2,Neocortex_white_matter_Vol.mm3
Hippocampus,Zilles_Rehkämper_1988_Table12-2,Hippocampus_Vol.mm3
Regio entorhinalis,Zilles_Rehkämper_1988_Table12-2,EntorhinalCortex_Vol.mm3
Paleocortex,Zilles_Rehkämper_1988_Table12-2,Palaeocortex_Vol.mm3
Regio praepiriformis,Zilles_Rehkämper_1988_Table12-2,Prepiriform_cortex_Vol.mm3
Corpus amygdaloideum,Zilles_Rehkämper_1988_Table12-2,Amygdala_Vol.mm3
Septum,Zilles_Rehkämper_1988_Table12-2,Septum_Vol.mm3
Corpus striatum,Zilles_Rehkämper_1988_Table12-2,Striatum_Vol.mm3
Globus pallidus,Zilles_Rehkämper_1988_Table12-2,Pallidum_Vol.mm3
