label,domain,measure_class,Structure,Measure,Unit,is_measurement,poolable_group,definition,definition_kind,definition_source,matched_code,glossary_terms
VocalRepertoire (count),behaviour & cognition,vocalization,,VocalRepertoire,count,True,,"Number of distinct vocalization types recorded for the species. Resolved from Schniter 2026 (primary) with ManyPrimates 2022 as secondary; both descend from McComb & Semple 2005, so they are resolved by priority and never averaged.",glossary_definition,_keys/glossary.csv,VocalRepertoire,VocalRepertoire
Adult_head_body_length_mm,body size,body_length,Body,Length.mm,mm,True,,Adult head body length mm,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Adult_head_body_length_mm,
Body weight kg,body size,mass,Body,Mass.kg,kg,True,,body weight in kilograms,source_definition,Heffner_Masterton_1975/reference_tables/Heffner_Masterton_1975_TableI_definitions.csv,Body weight kg,
Body_Mass (g),body size,mass,Body,Mass.g,g,True,,Whole-animal body mass in grams. Authoritative pooled value from the body/ecology merge; the per-paper body-mass columns are superseded by it and kept only as a fallback for species the merge does not cover.,glossary_definition,_keys/glossary.csv,Body_Mass,Mass
Body_weight,body size,mass,Body,Mass.g,g,True,,body weight,source_definition,Stephan_etal_1981/reference_tables/Stephan_etal_1981_definitions.csv,Body_weight,
Endocranial_volume (mL),brain structure & size,endocranial_volume,WholeBrain,Vol.mL,mL,True,endocranial_volume,WholeBrain,composed_structure_only,_keys/glossary.csv + _keys/variable_domain.csv,,
Endocranial_volume_female (mL),brain structure & size,endocranial_volume,WholeBrain,Vol.mL,mL,True,endocranial_volume_female,WholeBrain,composed_structure_only,_keys/glossary.csv + _keys/variable_domain.csv,,
Brain_Mass_excl_olfactory_bulb (g),brain structure & size,mass,WholeBrain,Mass.g,g,True,mass_measured_excl_ob,WholeBrain: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass
Brain_Mass_from_volume_or_ecv (g),brain structure & size,mass,WholeBrain,Mass.g,g,True,mass_from_volume_or_ecv,WholeBrain: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass
Brain_Mass_mass_or_volume (g),brain structure & size,mass,WholeBrain,Mass.g,g,True,mass_or_volume_mixed,WholeBrain: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass
Brain_Mass_measured (g),brain structure & size,mass,WholeBrain,Mass.g,g,True,mass_measured,WholeBrain: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass
Brain_size_sum_of_structures (g),brain structure & size,mass,WholeBrainOlfactoryBulb,Mass.g,g,True,sum_of_parts_incl_ob,WholeBrainOlfactoryBulb: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,
Brain_weight_g,brain structure & size,mass,WholeBrain,Mass.g,g,True,,Brain weight g,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Brain_weight_g,
Neonate_brain_weight_g,brain structure & size,mass,WholeBrain,Mass.g,g,True,,Neonate brain weight g,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Neonate_brain_weight_g,
SpinalCord_p.C.CNS.mass,brain structure & size,structure_fraction,SpinalCord,p.C.CNS.mass,%,True,,SpinalCord: percent of CNS mass,composed,_keys/glossary.csv + _keys/variable_domain.csv,,p.C.CNS.mass
SpinalCord_Length.mm,brain structure & size,structure_length,SpinalCord,Length.mm,mm,True,,SpinalCord: length in millimetres,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Length.mm
Amygdala_Mass.g,brain structure & size,structure_mass,Amygdala,Mass.g,g,True,,Amygdala: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
Body_Mass.g,brain structure & size,structure_mass,Body,Mass.g,g,True,,body mass in project units (g),source_definition,Weaver__2001/reference_tables/Weaver__2001_TableA-15_definitions.csv,Body_Mass.g,Mass.g
Brain_Mass.mg,brain structure & size,structure_mass,WholeBrain,Mass.mg,mg,True,,brain mass in project units (mg),source_definition,Weaver__2001/reference_tables/Weaver__2001_TableA-15_definitions.csv,Brain_Mass.mg,Mass
Cerebellum_Mass.g,brain structure & size,structure_mass,Cerebellum,Mass.g,g,True,,cerebellum mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Cerebellum_Mass.g,Mass.g
CerebralCortex_Mass.g,brain structure & size,structure_mass,CerebralCortex,Mass.g,g,True,,cerebral cortex mass (grey matter + white matter + hippocampus),source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,CerebralCortex_Mass.g,Mass.g
CerebralCortexGrey_Mass.g,brain structure & size,structure_mass,CerebralCortexGrey,Mass.g,g,True,,CerebralCortexGrey: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
CerebralCortexWhite_Mass.g,brain structure & size,structure_mass,CerebralCortexWhite,Mass.g,g,True,,CerebralCortexWhite: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
DiencephalonStriatum_Mass.g,brain structure & size,structure_mass,DiencephalonStriatum,Mass.g,g,True,,diencephalon + basal ganglia mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,DiencephalonStriatum_Mass.g,Mass.g
Hippocampus_Mass.g,brain structure & size,structure_mass,Hippocampus,Mass.g,g,True,,hippocampus mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Hippocampus_Mass.g,Mass.g
Medulla_Mass.g,brain structure & size,structure_mass,Medulla,Mass.g,g,True,,Medulla: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
Mesencephalon_Mass.g,brain structure & size,structure_mass,Mesencephalon,Mass.g,g,True,,mesencephalon mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Mesencephalon_Mass.g,Mass.g
MesencephalonDiencephalonStriatum_Mass.g,brain structure & size,structure_mass,MesencephalonDiencephalonStriatum,Mass.g,g,True,,MesencephalonDiencephalonStriatum: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
OlfactoryBulb_Mass.g,brain structure & size,structure_mass,OlfactoryBulb,Mass.g,g,True,,olfactory bulb mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,OlfactoryBulb_Mass.g,Mass.g
Pons_Mass.g,brain structure & size,structure_mass,Pons,Mass.g,g,True,,Pons: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
PonsMedulla_Mass.g,brain structure & size,structure_mass,PonsMedulla,Mass.g,g,True,,pons + medulla mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,PonsMedulla_Mass.g,Mass.g
RoB_Mass.g,brain structure & size,structure_mass,RoB,Mass.g,g,True,,rest-of-brain mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,RoB_Mass.g,Mass.g|RoB
SpinalCord_Mass.g,brain structure & size,structure_mass,SpinalCord,Mass.g,g,True,,SpinalCord: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
WholeBrain_Mass.g,brain structure & size,structure_mass,WholeBrain,Mass.g,g,True,,whole-brain mass excluding the olfactory bulb,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,WholeBrain_Mass.g,Mass.g
WholeBrainOlfactoryBulb_Mass.g,brain structure & size,structure_mass,WholeBrainOlfactoryBulb,Mass.g,g,True,sum_of_parts_incl_ob,WholeBrainOlfactoryBulb: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
AccessoryOlfactoryBulb_layer_6_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,True,,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,True,,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,True,,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,True,,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,True,,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,True,,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,True,,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_accessory_basal_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala accessory basal nucleus,Vol.mm3,mm3,True,,amygdala accessory basal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_basal_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala basal nucleus,Vol.mm3,mm3,True,,amygdala basal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_basolateral_division_Vol.mm3,brain structure & size,structure_volume,BasolateralDivision,Vol.mm3,mm3,True,,BasolateralDivision: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_lateral_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala lateral nucleus,Vol.mm3,mm3,True,,amygdala lateral nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_Vol.mm3,brain structure & size,structure_volume,Amygdala,Vol.mm3,mm3,True,,Amygdala: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_10_right_Vol.mm3,brain structure & size,structure_volume,Area10,Vol.mm3,mm3,True,,Area10: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_13_right_Vol.mm3,brain structure & size,structure_volume,Area13,Vol.mm3,mm3,True,,Area13: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_grey_matter_left_Vol.mm3,brain structure & size,structure_volume,Area_striata,Vol.mm3,mm3,True,,Area striata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_grey_matter_Vol.mm3,brain structure & size,structure_volume,Area_striata_grey_matter,Vol.mm3,mm3,True,,Area striata grey matter: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_lamina_1_Vol.mm3,brain structure & size,structure_volume,Area_striata_lamina_1,Vol.mm3,mm3,True,,Area striata lamina 1: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_laminae_2_6_Vol.mm3,brain structure & size,structure_volume,Area_striata_laminae_2_6,Vol.mm3,mm3,True,,Area striata laminae 2 6: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_Vol.mm3,brain structure & size,structure_volume,Area_striata,Vol.mm3,mm3,True,,Area striata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_white_matter_Vol.mm3,brain structure & size,structure_volume,Area_striata_white_matter,Vol.mm3,mm3,True,,Area striata white matter: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Bulbus_olfactorius_accessorius_Vol.mm3,brain structure & size,structure_volume,Bulbus_olfactorius_accessorius,Vol.mm3,mm3,True,,Bulbus olfactorius accessorius: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Bulbus_olfactorius_Vol.mm3,brain structure & size,structure_volume,Bulbus_olfactorius,Vol.mm3,mm3,True,,Bulbus olfactorius: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CA1_Vol.mm3,brain structure & size,structure_volume,CA1,Vol.mm3,mm3,True,,cornu ammonis field 1: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA1
CA2_Vol.mm3,brain structure & size,structure_volume,CA2,Vol.mm3,mm3,True,,cornu ammonis field 2: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA2
CA3_Vol.mm3,brain structure & size,structure_volume,CA3,Vol.mm3,mm3,True,,cornu ammonis field 3: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA3
Capsula_interna_Vol.mm3,brain structure & size,structure_volume,Capsula_interna,Vol.mm3,mm3,True,,Capsula interna: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellar_nuclei_total_Vol.mm3,brain structure & size,structure_volume,Cerebellar_nuclei_total,Vol.mm3,mm3,True,,Cerebellar nuclei total: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarCortex_Vol.mm3,brain structure & size,structure_volume,CerebellarCortex,Vol.mm3,mm3,True,,CerebellarCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarHemisphere_Vol.mm3,brain structure & size,structure_volume,CerebellarHemisphere,Vol.mm3,mm3,True,,CerebellarHemisphere: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarVermis_Vol.mm3,brain structure & size,structure_volume,CerebellarVermis,Vol.mm3,mm3,True,,CerebellarVermis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellum_grey_matter_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,True,,Cerebellum: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellum_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,True,,cerebellar volume in project units,source_definition,Kochiyama_etal_2018/reference_tables/Kochiyama_etal_2018_FossilSpecimensText_definitions.csv,Cerebellum_Vol.mm3,Vol.mm3
Cerebellum_white_matter_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,True,,Cerebellum: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebral_hemispheres_Vol.mm3,brain structure & size,structure_volume,cerebral hemispheres,Vol.mm3,mm3,True,,cerebral hemispheres: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Commissura_anterior_Vol.mm3,brain structure & size,structure_volume,Commissura_anterior,Vol.mm3,mm3,True,,Commissura anterior: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_centromedialis_Vol.mm3,brain structure & size,structure_volume,Complexus_centromedialis,Vol.mm3,mm3,True,,Complexus centromedialis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_corticobasolateralis_Vol.mm3,brain structure & size,structure_volume,Complexus_corticobasolateralis,Vol.mm3,mm3,True,,Complexus corticobasolateralis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_sensorius_trigeminalis_Vol.mm3,brain structure & size,structure_volume,Complexus_sensorius_trigeminalis,Vol.mm3,mm3,True,,Complexus sensorius trigeminalis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_vestibularis_unilateral_Vol.mm3,brain structure & size,structure_volume,Complexus_vestibularis,Vol.mm3,mm3,True,,Complexus vestibularis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_vestibularis_Vol.mm3,brain structure & size,structure_volume,Complexus_vestibularis,Vol.mm3,mm3,True,,Complexus vestibularis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_geniculatum_laterale_left_Vol.mm3,brain structure & size,structure_volume,Corpus_geniculatum_laterale,Vol.mm3,mm3,True,,Corpus geniculatum laterale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_geniculatum_laterale_Vol.mm3,brain structure & size,structure_volume,Corpus_geniculatum_laterale,Vol.mm3,mm3,True,,Corpus geniculatum laterale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_pineal_Vol.mm3,brain structure & size,structure_volume,Corpus_pineal,Vol.mm3,mm3,True,,Corpus pineal: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_subcommissurale_Vol.mm3,brain structure & size,structure_volume,Corpus_subcommissurale,Vol.mm3,mm3,True,,Corpus subcommissurale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_subfornicale_Vol.mm3,brain structure & size,structure_volume,Corpus_subfornicale,Vol.mm3,mm3,True,,Corpus subfornicale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Diencephalon_excluding_globus_pallidus_Vol.mm3,brain structure & size,structure_volume,Diencephalon excluding globus pallidus,Vol.mm3,mm3,True,,Diencephalon excluding globus pallidus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Diencephalon_Vol.mm3,brain structure & size,structure_volume,Diencephalon,Vol.mm3,mm3,True,,Diencephalon: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,True,,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,True,,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,True,,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
EntorhinalCortex_Vol.mm3,brain structure & size,structure_volume,EntorhinalCortex,Vol.mm3,mm3,True,,EntorhinalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Epithalamus_Vol.mm3,brain structure & size,structure_volume,Epithalamus,Vol.mm3,mm3,True,,Epithalamus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Facial_motor_nucleus_left_Vol.mm3,brain structure & size,structure_volume,Facial_motor_nucleus,Vol.mm3,mm3,True,,Facial motor nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Fascia_dentata_Vol.mm3,brain structure & size,structure_volume,Fascia_dentata,Vol.mm3,mm3,True,,Fascia dentata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FlocculonodularLobe_Vol.mm3,brain structure & size,structure_volume,FlocculonodularLobe,Vol.mm3,mm3,True,,FlocculonodularLobe: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FrontalCortex_grey_matter_Vol.mm3,brain structure & size,structure_volume,FrontalCortex,Vol.mm3,mm3,True,,FrontalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FrontalCortex_white_matter_Vol.mm3,brain structure & size,structure_volume,FrontalCortex,Vol.mm3,mm3,True,,FrontalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,True,,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,True,,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,True,,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,True,,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,True,,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,True,,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hilus_Vol.mm3,brain structure & size,structure_volume,Hilus,Vol.mm3,mm3,True,,Hilus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hippocampus_retrocommissuralis_Vol.mm3,brain structure & size,structure_volume,Hippocampus_retrocommissuralis,Vol.mm3,mm3,True,,Hippocampus retrocommissuralis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hippocampus_Vol.mm3,brain structure & size,structure_volume,Hippocampus,Vol.mm3,mm3,True,,Hippocampus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
HP_HS_fibers_Vol.mm3,brain structure & size,structure_volume,HP_HS_fibers,Vol.mm3,mm3,True,,pre- + supra-commissural hippocampus plus hippocampal fibres: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|HP|HS
Hypoglossal_nucleus_left_Vol.mm3,brain structure & size,structure_volume,Hypoglossal_nucleus,Vol.mm3,mm3,True,,Hypoglossal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hypothalamus_Vol.mm3,brain structure & size,structure_volume,Hypothalamus,Vol.mm3,mm3,True,,Hypothalamus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Insula_left_Vol.mm3,brain structure & size,structure_volume,Insula,Vol.mm3,mm3,True,,Insula: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
