ref_key,cited_in_column,citation,note
Blanco & Rahalinarivo (2010),References,"Blanco, M. B. & Rahalinarivo, V. (2010). First direct evidence of hibernation in an eastern dwarf lemur species (Cheirogaleus crossleyi) from the high-altitude forest of Tsinjoarivo, central-eastern Madagascar. Naturwissenschaften 97, 945–950.",
Bozinovic & Marquet (1991),References,"Bozinovic, F. & Marquet, P. A. (1991). Energetics and torpor in the Atacama desert-dwelling rodent Phyllotis darwini rupestris. Journal of Mammalogy 72, 734–738.",
Bozinovic & Rosenmann (1988),References,"Bozinovic, F. & Rosenmann, M. (1988). Daily torpor in Calomys musculinus, a south-american rodent. Journal of Mammalogy 69, 150–152.",
"Bozinovic, Ruiz & Rosenmann (2004)",References,"Bozinovic, F., Ruiz, G. & Rosenmann, M. (2004). Energetics and torpor of a South American ""living fossil"", the microbiotheriid Dromiciops gliroides. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 174, 293–297.",
Brack & Twente (1985),References,"Brack, V. & Twente, J. W. (1985). The duration of the period of hibernation of 3 species of vespertilionid bats. 1. Field studies. Canadian Journal of Zoology 63, 2952–2954.",
Brigham (1992),References,"Brigham, R. M. (1992). Daily torpor in a free-ranging goatsucker, the common poorwill (Phalaenoptilus nuttallii). Physiological Zoology 65, 457–472.",
Brigham et al. (2000),References,"Brigham, R. M., Körtner, G., Maddocks, T. A. & Geiser, F. (2000). Seasonal use of torpor by free-ranging Australian owlet-nightjars (Aegotheles cristatus). Physiological and Biochemical Zoology 73, 613–620.",
Brown & Bartholomew (1969),References,"Brown, J. H. & Bartholomew, G. A. (1969). Periodicity and energetics of torpor in the Kangaroo Mouse, Microdipodops pallidus. Ecology 50, 705–709.",
Brown & Bernard (1994),References,"Brown, C. R. & Bernard, R. T. F. (1994). Thermal preference of Schreiber's long-fingered (Miniopterus schreibersii) and Cape horseshoe (Rhinolophus capensis) bats. Comparative Biochemistry and Physiology Part A: Physiology 107, 439–449.",
Bucher & Chappell (1992),References,"Bucher, T. L. & Chappell, M. A. (1992). Ventilatory and metabolic dynamics during entry into and arousal from torpor in Selasphorus hummingbirds. Physiological Zoology 65, 978–993.",
Buck & Barnes (2000),References,"Buck, C. L. & Barnes, B. M. (2000). Effects of ambient temperature on metabolic rate, respiratory quotient, and torpor in an arctic hibernator. American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 279, R255–R262.",
Buffenstein (1985),References,"Buffenstein, R. (1985). The effect of starvation, food restriction, and water deprivation on thermoregulation and average daily metabolic rates in Gerbillus pusillus. Physiological Zoology 58, 320–328.",
C. Bieber & T. Ruf (unpublished data),References,"Bieber, C. & Ruf, T. (unpublished data). Cited in Ruf & Geiser (2015).",not a published work; cited as such in the printed table
C. Siutz (personal communication),References,"Siutz, C. (personal communication). Cited in Ruf & Geiser (2015).",not a published work; cited as such in the printed table
Calder & Booser (1973),References,"Calder, W. A. & Booser, J. (1973). Hypothermia of broad-tailed hummingbirds during incubation in nature with ecological correlations. Science 180, 751–753.",
Carpenter (1974),References,"Carpenter, F. L. (1974). Torpor in an Andean hummingbird: its ecological significance. Science 183, 545–547.",
Caviedes-Vidal et al. (1990),References,"Caviedes-Vidal, E., Codella, E. C., Roig, V. & Doña, R. (1990). Facultative torpor in the south american rodent Calomys venustus (Rodentia: Cricetidae). Journal of Mammalogy 71, 72–75.",
Coburn & Geiser (1998),References,"Coburn, D. K. & Geiser, F. (1998). Seasonal changes in energetics and torpor patterns in the subtropical blossom-bat Syconycteris australis (Megachiroptera). Oecologia 113, 467–473.",
"Collins, Wooller & Richardson (1987)",References,"Collins, B. G., Wooller, R. D. & Richardson, K. C. (1987). Torpor by the honey possum, Tarsipes rostratus (Marsupialia: Tarsipedidae), in response to food intake and low environmental temperature. Australian Mammalogy 11, 51–57.",
Cooper & Withers (2004),References,"Cooper, C. E. & Withers, P. C. (2004). Patterns of body temperature variation and torpor in the numbat, Myrmecobius fasciatus (Marsupialia: Myrmecobiidae). Journal of Thermal Biology 29, 277–284.",
Cooper & Withers (2010),References,"Cooper, C. E. & Withers, P. C. (2010). Comparative physiology of Australian quolls (Dasyurus; Marsupialia). Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 180, 857–868.",
Cooper et al. (2008),References,"Cooper, C. E., Körtner, G., Brigham, M. & Geiser, F. (2008). Body temperature and activity patterns of free-ranging laughing Kookaburras: the largest kingfisher is heterothermic. The Condor 110, 110–115.",
"Cooper, Withers & Cruz-Neto (2009)",References,"Cooper, C. E., Withers, P. C. & Cruz-Neto, A. P. (2009). Metabolic, ventilatory, and hygric physiology of the gracile mouse opossum (Gracilinanus agilis). Physiological and Biochemical Zoology 82, 153–162.",
Cory Toussaint & McKechnie (2012),References,"Cory Toussaint, D. & McKechnie, A. E. (2012). Interspecific variation in thermoregulation among three sympatric bats inhabiting a hot, semi-arid environment. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 182, 1129–1140.",
"Cory Toussaint, McKechnie & van der Merwe (2010)",References,"Cory Toussaint, D., McKechnie, A. E. & van der Merwe, M. (2010). Heterothermy in free-ranging male Egyptian Free-tailed bats (Tadarida aegyptiaca) in a subtropical climate. Mammalian Biology 75, 466–470.",
Cranford (1983),References,"Cranford, J. A. (1983). Body temperature, heart rate and oxygen consumption of normothermic and heterothermic Western jumping mice (Zapus princeps). Comparative Biochemistry and Physiology 74, 595–599.",
Cranford (1986),References,"Cranford, J. A. (1986). Field and laboratory annual cycles of activity and hibernation in the Uinta Basin ground squirrel (Spermophilus armatus). In Living in the Cold: Physiological and Biochemical Adaptations (eds H. C. Heller, X. J. Musacchia and L. C. H. Wang), pp. 411–418. Elsevier, New York.",
Cryan & Wolf (2003),References,"Cryan, P. M. & Wolf, B. O. (2003). Sex differences in the thermoregulation and evaporative water loss of a heterothermic bat, Lasiurus cinereus, during its spring migration. The Journal of Experimental Biology 206, 3381–3390.",
"Dausmann et al. (2004, 2005, 2009)",References,"Dausmann, K. H., Glos, J., Ganzhorn, J. U. & Heldmaier, G. (2004). Hibernation in a tropical primate. Nature 429, 825–826. | Dausmann, K. H., Glos, J., Ganzhorn, J. U. & Heldmaier, G. (2005). Hibernation in the tropics: lessons from a primate. Journal of Comparative Physiology B 175, 147–155. | Dausmann, K. H., Glos, J. & Heldmaier, G. (2009). Energetics of tropical hibernation. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 179, 345–357.",ref_key covers more than one work; entries separated by ' | '
Dausmann et al. (2012),References,"Dausmann, K. H., Nowack, J., Kobbe, S. & Mzilikazi, N. (2012). Afrotropical heterothermy: a continuum of possibilities. In Living in a Seasonal World. Thermoregulatory and Metabolic Adaptations (eds T. Ruf, C. Bieber, W. Arnold and E. Millesi), pp. 13–27. Springer, Berlin, Heidelberg, New York.",
"Dausmann, Ganzhorn & Heldmaier (2000)",References,"Dausmann, K. H., Ganzhorn, J. U. & Heldmaier, G. (2000). Body temperature and metabolic rate of a hibernating primate in Madagascar: preliminary results from a field study. In Life in the Cold IV (eds G. Heldmaier and M. Klingenspor), pp. 41–47. Springer, Berlin, Heidelberg, New York.",
Dawson & Fisher (1969),References,"Dawson, W. R. & Fisher, C. D. (1969). Responses to temperature by the Spotted Nightjar (Eurostopodus guttatus). The Condor 71, 49–53.",
Dawson & Wolfers (1978),References,"Dawson, T. J. & Wolfers, J. M. (1978). Metabolism, thermoregulation and torpor in shrew sized marsupials of the genus planigale. Comparative Biochemistry and Physiology Part A: Physiology 59, 305–309.",
Deavers & Hudson (1981),References,"Deavers, D. R. & Hudson, J. W. (1981). Temperature regulation in two rodents (Clethrionomys gapperi and Peromyscus leucopus) and a shrew (Blarina brevicauda) inhabiting the same environment. Physiological Zoology 54, 94–108.",
Doucette et al. (2012),References,"Doucette, L. I., Brigham, R. M., Pavey, C. R. & Geiser, F. (2012). Prey availability affects daily torpor by free-ranging Australian owlet-nightjars (Aegotheles cristatus). Oecologia 169, 361–372.",
Downs & Brown (2002),References,"Downs, C. T. & Brown, M. (2002). Nocturnal heterothermy and torpor in the malachite sunbird (Nectarinia famosa). The Auk 119, 251–260.",
"Dryden, Gębczyński & Douglas (1974)",References,"Dryden, G. L., Gębczyński, M. & Douglas, E. L. (1974). Oxygen consumption by nursling and adult musk shrews. Acta Theriologica 19, 453–461.",
Dunbar & Tomasi (2006),References,"Dunbar, M. B. & Tomasi, T. E. (2006). Arousal patterns, metabolic rate, and an energy budget of eastern red bats (Lasiurus borealis) in winter. Journal of Mammalogy 87, 1096–1102.",
"Ehrhardt, Heldmaier & Exner (2005)",References,"Ehrhardt, N., Heldmaier, G. & Exner, C. (2005). Adaptive mechanisms during food restriction in Acomys russatus: the use of torpor for desert survival. Journal of Comparative Physiology B 175, 193–200.",
Eisentraut (1933),References,"Eisentraut, M. (1933). Winterstarre, Winterschlaf und Winterruhe. Eine kurze biologischphysiologische Studie. Mitteilungen aus dem Zoologischen Museum in Berlin 19, 48–63.",
Eisentraut (1956),References,"Eisentraut, M. (1956). Der Winterschlaf mit seinen ökologischen und physiologischen Begleiterscheinungen. VEB G. Fischer, Jena.",
El Ouezzani et al. (2011),References,"El Ouezzani, S., Janati, I. A., Magoul, R., Pevet, P. & Saboureau, M. (2011). Overwinter body temperature patterns in captive jerboas (Jaculus orientalis): influence of sex and group. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 181, 299–309.",
Ellison (1995),References,"Ellison, G. T. H. (1995). Thermoregulatory responses of cold-acclimated fat mice (Steatomys pratensis). Journal of Mammalogy 76, 240–247.",
F. Lachiver cited in Kayser (1961),References,"Kayser, C. (1961). The Physiology of Natural Hibernation. Pergamon Press, Oxford.",printed as 'F. Lachiver cited in Kayser (1961)'; the traceable work is Kayser (1961)
Fleming (1980),References,"Fleming, M. R. (1980). Thermoregulation and torpor in the sugar glider, Petaurus breviceps (Marsupialia, Petauridae). Australian Journal of Zoology 28, 521–534.",
Fleming (1985),References,"Fleming, M. R. (1985). The thermal physiology of the feathertail glider, Acrobates pygmaeus (Marsupialia, Burramyidae). Australian Journal of Zoology 33, 667–681.",
Florant & Heller (1977),References,"Florant, G. L. & Heller, H. C. (1977). CNS regulation of body temperature in euthermic and hibernating marmots (Marmota flaviventris). American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 232, R203–R208.",
"Florant, Hill & Ogilvie (2000)",References,"Florant, G. L., Hill, V. & Ogilvie, M. D. (2000). Circadian rhythms of body temperature in laboratory and field marmots (Marmota flaviventris). In Life in the Cold IV (eds G. Heldmaier and M. Klingenspor), pp. 223–231. Springer, Berlin, Heidelberg, New York.",
Fowler & Racey (1988),References,"Fowler, P. A. & Racey, P. A. (1988). Overwintering strategies of the badger, Meles meles, at 57°N. Journal of Zoology (London) 214, 635–651.",
Franco et al. (2012),References,"Franco, M., Contreras, C., Cortes, P., Chappell, M. A., Soto-Gamboa, M. & Nespolo, R. F. (2012). Aerobic power, huddling and the efficiency of torpor in the South American marsupial, Dromiciops gliroides. Biology Open 1, 1178–1184.",
French (1977),References,"French, A. R. (1977). Periodicity of recurrent hypothermia during hibernation in the pocket mouse, Perognathus longimembris. Journal of Comparative Physiology 115, 87–100.",
French (1985),References,"French, A. R. (1985). Allometries of the durations of torpid and euthermic intervals during mammalian hibernation: a test of the theory of metabolic control of the timing of changes in body temperature. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 156, 13–19.",
"Frey (1979, 1980)",References,"Frey, H. (1979). La température corporelle de Suncus etruscus (Soricidae, Insectivora) au cours de l'activité, du repos normothermique et de la torpeur. Revue Suisse de Zoologie 86, 653–662. | Frey, H. (1980). Le métabolisme énergétique de Suncus etruscus (Soricidae, Insectivora) en torpeur. Revue Suisse de Zoologie 87, 739–748.",ref_key covers more than one work; entries separated by ' | '
Geiser & Baudinette (1987),References,"Geiser, F. & Baudinette, R. V. (1987). Seasonality of torpor and thermoregulation in three dasyurid marsupials. Journal of Comparative Physiology B 157, 335–344.",
Geiser & Baudinette (1988),References,"Geiser, F. & Baudinette, R. V. (1988). Daily torpor and thermoregulation in the small dasyurid marsupials Planigale gilesi and Ningaui yvonneae. Australian Journal of Zoology 36, 473–481.",
Geiser & Brigham (2000),References,"Geiser, F. & Brigham, R. M. (2000). Torpor, thermal biology, and energetics in Australian long-eared bats (Nyctophilus). Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 170, 153–162.",
Geiser & Broome (1991),References,"Geiser, F. & Broome, L. S. (1991). Hibernation in the mountain pygmy possum Burramys parvus (Marsupialia). Journal of Zoology (London) 223, 593–602.",
Geiser & Ferguson (2001),References,"Geiser, F. & Ferguson, C. (2001). Intraspecific differences in behaviour and physiology: effects of captive breeding on patterns of torpor in feathertail gliders. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 171, 569–576.",
Geiser & Masters (1994),References,"Geiser, F. & Masters, P. (1994). Torpor in relation to reproduction in the mulgara, Dasycercus cristicauda (Dasyuridae, Marsupialia). Journal of Thermal Biology 19, 33–40.",
Geiser & Mzilikazi (2011),References,"Geiser, F. & Mzilikazi, N. (2011). Does torpor of elephant shrews differ from that of other heterothermic mammals? Journal of Mammalogy 92, 452–459.",
Geiser & Pavey (2007),References,"Geiser, F. & Pavey, C. R. (2007). Basking and torpor in a rock-dwelling desert marsupial: survival strategies in a resource-poor environment. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 177, 885–892.",
Geiser (1986),References,"Geiser, F. (1986). Thermoregulation and torpor in the Kultarr, Antechinomys laniger (Marsupialia: Dasyuridae). Journal of Comparative Physiology B 156, 751–757.",
Geiser (1987),References,"Geiser, F. (1987). Hibernation and daily torpor in two pygmy possums (Cercartetus spp., Marsupialia). Physiological Zoology 60, 93–102.",
Geiser (1988),References,"Geiser, F. (1988). Daily torpor and thermoregulation in Antechinus (Marsupialia): influence of body mass, season, development, reproduction, and sex. Oecologia 77, 395–399.",
Geiser (1991),References,"Geiser, F. (1991). The effect of unsaturated and saturated dietary lipids on the pattern of daily torpor and the fatty-acid composition of tissues and membranes of the deer mouse Peromyscus maniculatus. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 161, 590–597.",
Geiser (1993),References,"Geiser, F. (1993). Hibernation in the eastern pygmy possum, Cercartetus nanus (Marsupialia, Burramyidae). Australian Journal of Zoology 41, 67–75.",
Geiser et al. (1984),References,"Geiser, F., Augee, M. L., McCarron, H. C. K. & Raison, J. K. (1984). Correlates of torpor in the insectivorous dasyurid marsupial Sminthopsis murina. Australian Mammalogy 7, 185–191.",
Geiser et al. (1990),References,"Geiser, F., Hiebert, S. & Kenagy, G. J. (1990). Torpor bout duration during the hibernation season of two sciurid rodents: interrelations with temperature and metabolism. Physiological Zoology 63, 489–503.",
"Geiser, Hiebert & Kenagy (1990)",References,"Geiser, F., Hiebert, S. & Kenagy, G. J. (1990). Torpor bout duration during the hibernation season of two sciurid rodents: interrelations with temperature and metabolism. Physiological Zoology 63, 489–503.",
Goldman (1989),References,"Goldman, B. G. (1989). Effect of photoperiod on the hibernation cycle of the Turkish hamster. In Living in the Cold: 2nd International Symposium (eds A. Malan and B. Canguilhem), pp. 5–15. Colloque INSERM/John Libbey Eurotext, Montrouge.",
Grant & Temple-Smith (1987),References,"Grant, T. R. & Temple-Smith, P. D. (1987). Observations on torpor in the small marsupial Dromiciops australis (Marsupialia: Microbiotheriidae) from southern Chile. In Possums and Opossums: Studies in Evolution (ed. M. Archer), pp. 273–277. Surrey Beatty and The Royal Zoological Society of NSW, Sydney.",
Grigg et al. (1989),References,"Grigg, G. C., Beard, L. A. & Augee, M. L. (1989). Hibernation in a monotreme, the echidna (Tachyglossus aculeatus). Comparative Biochemistry and Physiology Part A: Physiology 92, 609–612.",
Hainsworth & Wolf (1970),References,"Hainsworth, F. R. & Wolf, L. L. (1970). Regulation of oxygen consumption and body temperature during torpor in a hummingbird, Eulampis jugularis. Science 168, 368–369.",
Hall (1982),References,"Hall, L. S. (1982). The effect of cave microclimate on winter roosting behavior in the bat, Miniopterus schreibersii blepotis. Australian Journal of Ecology 7, 129–136.",
Hallam & Mzilikazi (2011),References,"Hallam, S. L. & Mzilikazi, N. (2011). Heterothermy in the southern African hedgehog, Atelerix frontalis. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 181, 437–445.",
Hammel et al. (1968),References,"Hammel, H. T., Dawson, T. J., Abrams, R. M. & Andersen, H. J. (1968). Total calorimetric measurements on Citellus lateralis in hibernation. Physiological Zoology 41, 341–357.",
Harlow & Menkens (1986),References,"Harlow, H. J. & Menkens, G. E. (1986). A comparison of hibernation in the black-tailed prairie dog, white-tailed prairie dog, and Wyoming ground squirrel. Canadian Journal of Zoology 64, 793–796.",
Harlow (1981),References,"Harlow, H. J. (1981). Torpor and other physiological adaptations of the badger (Taxidea taxus) to cold environment. Physiological Zoology 54, 267–275.",
Harmata (1987),References,"Harmata, W. (1987). The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331–332.",
Healy et al. (2012),References,"Healy, J. E., Burdett, K. A., Buck, C. L. & Florant, G. L. (2012). Sex differences in torpor patterns during natural hibernation in golden-mantled ground squirrels (Callospermophilus lateralis). Journal of Mammalogy 93, 751–758.",
Herreid & Schmidt-Nielsen (1966),References,"Herreid, C. F. II & Schmidt-Nielsen, K. (1966). Oxygen consumption temperature and water loss in bats from different environments. American Journal of Physiology 211, 1108–1112.",
Herreid (1963),References,"Herreid, C. F. II (1963). Metabolism of the Mexican free-tailed bat. Journal of Cellular and Comparative Physiology 61, 201–207.",
"Hiebert (1990, 1993)",References,"Hiebert, S. M. (1990). Energy costs and temporal organization of torpor in the rufous hummingbird (Selasphorus rufus). Physiological Zoology 63, 1082–1097. | Hiebert, S. M. (1993). Seasonality of daily torpor in a migratory hummingbird. In Life in the Cold: Ecological, Physiological and Molecular Mechanisms (eds C. Carey, G. L. Florant, B. A. Wunder and B. Horwitz), pp. 25–32. Westview, Boulder.",ref_key covers more than one work; entries separated by ' | '
Hildwein (1970),References,"Hildwein, G. (1970). Capacités thermorégulatrices d'un mammifère insectivore primitif, le tenrec: leurs variations saisonnières. Archives des Sciences Physiologiques 24, 55–71.",
Hill (1975),References,"Hill, R. W. (1975). Daily torpor in Peromyscus leucopus on an adequate diet. Comparative Biochemistry and Physiology Part A: Physiology 51, 413–423.",
Hissa (1997),References,"Hissa, R. (1997). Physiology of the European brown bear (Ursus arctos arctos). Annales Zoologici Fennici 34, 267–287.",
Hock (1951),References,"Hock, R. J. (1951). The metabolic rates and body temperatures of bats. The Biological Bulletin 101, 289–299.",
Hock (1960),References,"Hock, R. J. (1960). Seasonal variations in physiologic functions of arctic ground squirrels and black bears. Bulletin of the Museum of Comparative Zoology 124, 155–171.",
Hoffmann & Prinzinger (1984),References,"Hoffmann, R. & Prinzinger, R. (1984). Torpor und Nahrungsausnutzung bei 4 Mausvogelarten (Coliiformes). Journal für Ornithologie 125, 225–237.",
Hope & Jones (2012),References,"Hope, P. R. & Jones, G. (2012). Warming up for dinner: torpor and arousal in hibernating Natterer's bats (Myotis nattereri) studied by radio telemetry. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 182, 569–578.",
Hosken & Withers (1997),References,"Hosken, D. J. & Withers, P. C. (1997). Temperature regulation and metabolism of an Australian bat, Chalinolobus gouldii (Chiroptera: Vespertilionidae) when euthermic and torpid. Journal of Comparative Physiology B 167, 71–80.",
Hudson & Deavers (1973),References,"Hudson, J. W. & Deavers, D. R. (1973). Thermoregulation at high ambient temperatures of six species of ground squirrels (Spermophilus spp.) from different habitats. Physiological Zoology 46, 95–109.",
Hudson & Scott (1979),References,"Hudson, J. W. & Scott, I. M. (1979). Daily torpor in the laboratory mouse Mus musculus var. albino. Physiological Zoology 52, 205–218.",
Hudson (1965),References,"Hudson, J. W. (1965). Temperature regulation and torpidity in the pygmy mouse, Baiomys taylori. Physiological Zoology 38, 243–254.",
"Hwang, Larivière & Messier (2007)",References,"Hwang, Y. T., Larivière, S. & Messier, F. (2007). Energetic consequences and ecological significance of heterothermy and social thermoregulation in striped skunks (Mephitis mephitis). Physiological and Biochemical Zoology 80, 138–145.",
Jacobs et al. (2007),References,"Jacobs, D. S., Kelly, E. J., Mason, M. & Stoffberg, S. (2007). Thermoregulation in two free-ranging subtropical insectivorous bat species: Scotophilus species (Vespertilionidae). Canadian Journal of Zoology-Revue Canadienne De Zoologie 85, 883–890.",
Johnson (2012),References,"Johnson, J. S. (2012). Foraging and roosting behaviors of Rafinesque's big-eared bat (Corynorhinus rafinesquii) at the northern edge of the species' range. Doctoral Dissertation Thesis: University of Kentucky.",
Jonasson & Willis (2012),References,"Jonasson, K. A. & Willis, C. K. R. (2012). Hibernation energetics of free-ranging little brown bats. The Journal of Experimental Biology 215, 2141–2149.",
Karpovich et al. (2009),References,"Karpovich, S. A., Tøien, Ø., Buck, C. L. & Barnes, B. M. (2009). Energetics of arousal episodes in hibernating arctic ground squirrels. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 179, 691–700.",
"Kart Gür, Refinetti & Gür (2009)",References,"Kart Gür, M., Refinetti, R. & Gür, H. (2009). Daily rhythmicity and hibernation in the Anatolian ground squirrel under natural and laboratory conditions. Journal of Comparative Physiology B 179, 155–164.",
"Kayser (1939, 1961)",References,"Kayser, C. (1939). Exchanges respiratoires des hibernants réveillés. Annales de Physiologie et de Physicochimie Biologique 15, 1087–1219. | Kayser, C. (1961). The Physiology of Natural Hibernation. Pergamon Press, Oxford.",ref_key covers more than one work; entries separated by ' | '
"Kayser (1939, 1964)",References,"Kayser, C. (1939). Exchanges respiratoires des hibernants réveillés. Annales de Physiologie et de Physicochimie Biologique 15, 1087–1219. | Kayser, C. (1964). La dépense d'énergie des mammifères en hibernation. Archives des Sciences Physiologiques 18, 137–150.",ref_key covers more than one work; entries separated by ' | '
Kayser (1964),References,"Kayser, C. (1964). La dépense d'énergie des mammifères en hibernation. Archives des Sciences Physiologiques 18, 137–150.",
Kelm & von Helversen (2007),References,"Kelm, D. H. & von Helversen, O. (2007). How to budget metabolic energy: torpor in a small Neotropical mammal. Journal of Comparative Physiology B 177, 667–677.",
Kenagy & Vleck (1982),References,"Kenagy, G. J. & Vleck, D. (1982). Daily temporal organisation of metabolism in small mammals: adaptation and diversity. In Vertebrate Circadian Systems (eds J. Aschoff, S. Daan and G. A. Groos). Springer, Berlin, Heidelberg, New York.",
Kisser & Goodwin (2012),References,"Kisser, B. & Goodwin, H. T. (2012). Hibernation and overwinter body temperatures in free-ranging thirteen-lined ground squirrels, Ictidomys tridecemlineatus. The American Midland Naturalist 167, 396–409.",
"Kobbe, Ganzhorn & Dausmann (2011)",References,"Kobbe, S., Ganzhorn, J. U. & Dausmann, K. H. (2011). Extreme individual flexibility of heterothermy in free-ranging Malagasy mouse lemurs (Microcebus griseorufus). Journal of Comparative Physiology B 181, 165–173.",
Koskimies (1948),References,"Koskimies, J. (1948). On temperature regulation and metabolism in the swift, Micropus a. apus L., during fasting. Experientia 4, 274–276.",
