"status","code_norm","code_snapshot","code_csv","species_snapshot","species_csv_baron1983","species_csv_updated","taxonomic_group_snapshot","n_snapshot","n_snapshot_numeric","n_csv","n_csv_numeric","volume_snapshot","volume_snapshot_numeric","volume_csv","volume_csv_numeric","code_match","n_match","volume_match","species_label_match_after_light_normalization"
"matched_by_code","3239","3239","3239","Lepilemur ruficaudatus","Lepilemur ruficaudatus","Lepilemur ruficaudatus","Prosimians","3",3,"3",3,"113",113,"113",113,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3243","3243","3243","Avahi laniger laniger","Avahi laniger laniger","Avahi laniger","Prosimians","2",2,"2",2,"89.2",89.2,"89.2",89.2,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3244","3244","3244","Avahi l. occidentalis","Avahi I. occidentalis","Avahi occidentalis","Prosimians","2*",2,"2*",2,"70.1",70.1,"70.1",70.1,TRUE,TRUE,TRUE,FALSE
"matched_by_code","3247","3247","3247","Propithecus verreauxi","Propithecus verreauxi","Propithecus verreauxi","Prosimians","2*",2,"2*",2,"147",147,"147",147,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3249","3249","3249","Indri indri","Indri indri","Indri indri","Prosimians","2*",2,"2*",2,"168",168,"168",168,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3251","3251","3251","Daubentonia madagascar.","Daubentonia madagascar.","Daubentonia madagascariensis","Prosimians","1",1,"1",1,"685",685,"685",685,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3253","3253","3253","Loris tardigradus","Loris tardigradus","Loris tardigradus","Prosimians","1",1,"1",1,"85.8",85.8,"85.8",85.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3255","3255","3255","Nycticebus coucang","Nycticebus coucang","Nycticebus coucang","Prosimians","2",2,"2",2,"159",159,"159",159,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3259","3259","3259","Perodicticus potto","Perodicticus potto","Perodicticus potto","Prosimians","2",2,"2",2,"310",310,"310",310,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3265","3265","3265","Galago senegalensis","Galago senegalensis","Galago senegalensis","Prosimians","1",1,"1",1,"79.2",79.2,"79.2",79.2,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3267","3267","3267","Otolemur crassicaudatus8","Otolemur crassicaudatus","Otolemur crassicaudatus","Prosimians","2",2,"2",2,"166",166,"166",166,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3275","3275","3275","Galagoides demidoff9","Galagoides demidoff","Galagoides demidoff","Prosimians","2*",2,"2*",2,"83.1",83.1,"83.1",83.1,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","3282","3282",NA,"Tarsius spp.",NA,NA,"Prosimians","2",2,NA,NA,"18.8",18.8,NA,NA,FALSE,FALSE,FALSE,NA
"matched_by_code","3287","3287","3287","Callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Simians","3",3,"3",3,"22.6+",22.6,"22.6",22.6,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3289","3289","3289","Cebuella pygmaea","Cebuella pygmaea","Callithrix pygmaea","Simians","2",2,"2",2,"12.3",12.3,"12.3",12.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3306","3306","3306","Saguinus midas10","Saguinus midas","Saguinus midas","Simians","2*",2,"2*",2,"17.3",17.3,"17.3",17.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3311","3311","3311","Saguinus oedipus","Saguinus oedipus","Saguinus oedipus","Simians","3*",3,"3*",3,"19.1",19.1,"19.1",19.1,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3315","3315","3315","Callimico goeldii","Callimico goeldii","Callimico goeldii","Simians","1",1,"1",1,"27.0",27,"27",27,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3324","3324","3324","Cebus spp.","Cebus spp.","Cebus albifrons","Simians","2*",2,"2*",2,"39.9",39.9,"39.9",39.9,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3325","3325","3325","Aotus trivirgatus","Aotus trivirgatus","Aotus trivirgatus","Simians","3",3,"3",3,"61.0+",61,"61",61,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3327","3327","3327","Callicebus moloch","Callicebus moloch","Callicebus moloch","Simians","2*",2,"2*",2,"19.2",19.2,"19.2",19.2,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3335","3335","3335","Saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Simians","1",1,"1",1,"26.8",26.8,"26.8",26.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3341","3341","3341","Pithecia monachus","Pithecia monachus","Pithecia monachus","Simians","2",2,"2",2,"34.8",34.8,"34.8",34.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3366","3366","3366","Alouatta spp.","Alouatta spp.","Alouatta seniculus","Simians","2",2,"2",2,"41.4",41.4,"41.4",41.4,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3371","3371","3371","Ateles geoffroyi","Ateles geoffroyi","Ateles geoffroyi","Simians","1",1,"1",1,"90.4",90.4,"90.4",90.4,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3379","3379","3379","Lagothrix lagothricha","Lagothrix lagothricha","Lagothrix lagothricha","Simians","3",3,"3",3,"73.4",73.4,"73.4",73.4,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3391","3391","3391","Macaca mulatta","Macaca mulatta","Macaca mulatta","Simians","1",1,"1",1,"84.3",84.3,"84.3",84.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3407","3407","3407","Cercocebus albigena","Cercocebus albigena","Lophocebus albigena","Simians","1",1,"1",1,"121",121,"121",121,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3415","3415","3415","Papio anubis","Papio anubis","Papio anubis","Simians","2*",2,"2*",2,"287",287,"287",287,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3433","3433","3433","Cercopithecus ascanius","Cercopithecus ascanius","Cercopithecus ascanius","Simians","1",1,"1",1,"99.5",99.5,"99.5",99.5,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3453","3453","3453","Cercopithecus mitis","Cercopithecus mitis","Cercopithecus mitis","Simians","1",1,"1",1,"117",117,"117",117,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3469","3469","3469","Miopithecus talapoin11","Miopithecus talapoin","Miopithecus talapoin","Simians","2*",2,"2*",2,"27.8",27.8,"27.8",27.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3473","3473","3473","Erythrocebus patas","Erythrocebus patas","Erythrocebus patas","Simians","2",2,"2",2,"51.8",51.8,"51.8",51.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3477","3477","3477","Colobus badius","Colobus badius","Piliocolobus badius","Simians","2",2,"2",2,"51.3",51.3,"51.3",51.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3493","3493","3493","Pygathrix nemaeus","Pygathrix nemaeus","Pygathrix nemaeus","Simians","1",1,"1",1,"10.7",10.7,"10.7",10.7,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3499","3499","3499","Nasalis larvatus","Nasalis larvatus","Nasalis larvatus","Simians","1",1,"1",1,"30.3",30.3,"30.3",30.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3539","3539","3539","Hylobates lar","Hylobates lar","Hylobates lar","Simians","1",1,"1",1,"43.9",43.9,"43.9",43.9,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3549","3549","3549","Pan troglodytes","Pan troglodytes","Pan troglodytes","Simians","1",1,"1",1,"257",257,"257",257,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3551","3551","3551","Gorilla gorilla","Gorilla gorilla","Gorilla sp.","Simians","1",1,"1",1,"316",316,"316",316,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3553","3553","3553","Homo sapiens","Homo sapiens","Homo sapiens","Simians","1",1,"1",1,"114",114,"114",114,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","575","0575",NA,"Solenodon paradoxus",NA,NA,"Progressive Insectivora","2*",2,NA,NA,"464 +",464,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","577","0577",NA,"Tenrec ecaudatus",NA,NA,"Basal Insectivora","3",3,NA,NA,"314",314,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","579","0579",NA,"Setifer setosus",NA,NA,"Basal Insectivora","2",2,NA,NA,"209",209,NA,NA,FALSE,FALSE,FALSE,NA
"matched_by_code","581","0581","581","Hemicentetes semispin.","Hemicentetes semispin.","Hemicentetes semispinosus","Basal Insectivora","1",1,"1",1,"93.6",93.6,"93.6",93.6,TRUE,TRUE,TRUE,TRUE
"matched_by_code","585","0585","585","Echinops telfairi","Echinops telfairi","Echinops telfairi","Basal Insectivora","2*",2,"2*",2,"71.2",71.2,"71.2",71.2,TRUE,TRUE,TRUE,TRUE
"matched_by_code","589","0589","589","Oryzorictes talpoides","Oryzoricles talpoides","Oryzorictes hova","Progressive Insectivora","1",1,"1",1,"46.9",46.9,"46.9",46.9,TRUE,TRUE,TRUE,FALSE
"matched_by_code","595","0595","595","Microgale cowani","Microgale cowani","Microgale cowani","Progressive Insectivora","1",1,"1",1,"35.9",35.9,"35.9",35.9,TRUE,TRUE,TRUE,TRUE
"matched_by_code","601","0601","601","Microgale dobsoni3","Microgale dobsoni","Nesogale dobsoni","Progressive Insectivora","1",1,"1",1,"53.6",53.6,"53.6",53.6,TRUE,TRUE,TRUE,TRUE
"matched_by_code","629","0629","629","Microgale talazaci4","Microgale talazaci","Nesogale talazaci","Progressive Insectivora","1",1,"1",1,"74.3",74.3,"74.3",74.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","633","0633","633","Limnogale mergulus","Limnogale mergulus","Microgale mergulus","Progressive Insectivora","1",1,"1",1,"42.9",42.9,"42.9",42.9,TRUE,TRUE,TRUE,TRUE
"matched_by_code","637","0637","637","Potamogale velox","Potamogale velox","Potamogale velox","Progressive Insectivora","2",2,"2",2,"86.0",86,"86",86,TRUE,TRUE,TRUE,TRUE
"matched_by_code","639","0639","639","Micropotamogale lamottei","Micropotamogale lamottei","Micropotamogale lamottei","Progressive Insectivora","3",3,"3",3,"34.1 +",34.1,"34.1",34.1,TRUE,TRUE,TRUE,TRUE
"matched_by_code","643","0643","643","Chrysochloris asiatica","Chrysochloris asiatica","Chrysochloris asiatica","Progressive Insectivora","1",1,"1",1,"58.5",58.5,"58.5",58.5,TRUE,TRUE,TRUE,TRUE
"matched_by_code","645","0645","645","Chrysochloris stuhlmanni5","Chrysochloris stuhlmanni","Chrysochloris stuhlmanni","Progressive Insectivora","2*",2,"2*",2,"60.6",60.6,"60.6",60.6,TRUE,TRUE,TRUE,TRUE
"matched_by_code","689","0689","689","Erinaceus algirus1","Erinaceus algirus","Atelerix algirus","Basal Insectivora","3",3,"3",3,"285",285,"285",285,TRUE,TRUE,TRUE,TRUE
"matched_by_code","695","0695","695","Erinaceus europaeus","Erinaceus europaeus","Erinaceus europaeus","Basal Insectivora","5*",5,"5*",5,"332",332,"332",332,TRUE,TRUE,TRUE,TRUE
"matched_by_code","701","0701","701","Hemiechinus auritus","Hemiechinus auritus","Hemiechinus auritus","Basal Insectivora","3",3,"3",3,"175",175,"175",175,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","715","0715",NA,"Sorex araneus",NA,NA,"Basal Insectivora","5*",5,NA,NA,"15.7",15.7,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","769","0769",NA,"Sorex minutus",NA,NA,"Basal Insectivora","1",1,NA,NA,"8.65",8.65,NA,NA,FALSE,FALSE,FALSE,NA
"matched_by_code","7993","7993","7993","Elephantulus fuscipes","Elephantulus fuscipes","Elephantulus fuscipes","Macroscelidea","2",2,"2",2,"63.3",63.3,"63.3",63.3,TRUE,TRUE,TRUE,TRUE
"matched_by_code","8011","8011","8011","Rhynchocyon cirnei12","Rhynchocyon cirnei","Rhynchocyon cirnei","Macroscelidea","2",2,"2",2,"426",426,"426",426,TRUE,TRUE,TRUE,TRUE
"matched_by_code","839","0839","839","Neomys fodiens","Neomys fodiens","Neomys fodiens","Progressive Insectivora","2",2,"2",2,"15.8",15.8,"15.8",15.8,TRUE,TRUE,TRUE,TRUE
"matched_by_code","943","0943","943","Crocidura flavescens2","Crocidura flavescens","Crocidura flavescens","Basal Insectivora","2",2,"2",2,"37.6",37.6,"37.6",37.6,TRUE,TRUE,TRUE,TRUE
