species,V1_area_striata_grey_mm3,LGN_mm3,brain_volume_mm3,source,note
Erythrocebus_patas,,267.0,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Eulemur_fulvus,1253.0,51.8,22490.35,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Galago_senegalensis,301.0,16.0,4633.2,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Lagothrix_lagotricha,4856.0,164.0,97490.35,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Lepilemur_ruficaudatus,326.0,15.6,7335.91,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Macaca_fascicularis,2713.3,91.9,55598.46,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Macaca_mulatta,5343.0,158.0,89768.34,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Microcebus_murinus,136.0,7.1,1718.15,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Miopithecus_talapoin,2339.0,109.0,38610.04,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Nasalis_larvatus,,157.0,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Nycticebus_coucang,696.0,35.9,12065.64,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Otolemur_crassicaudatus,479.0,23.2,9942.08,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Papio_anubis,10001.0,395.0,194015.44,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Pithecia_monachus,1679.0,76.3,33783.78,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Plecturocebus_moloch,1201.0,54.2,18339.77,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Propithecus_verreauxi,1106.0,64.5,25772.2,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Pygathrix_nemaeus,,115.0,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Saguinus_midas,841.0,36.0,9942.08,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Saimiri_sciureus,1884.0,62.9,23166.02,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Tarsius_syrichta,349.0,20.8,3474.9,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
