Genus,Family
Callithrix,Cebidae
Callorhinus,Otariidae
Callosciurus,Sciuridae
Calomys,Cricetidae
Calomyscus,Calomyscidae
Caloprymnus,Potoroidae
Caluromys,Didelphidae
Caluromysiops,Didelphidae
Calyptophractus,Dasypodidae
Camelus,Camelidae
Canis,Canidae
Cannomys,Spalacidae
Cansumys,Cricetidae
Caperea,Neobalaenidae
Capra,Bovidae
Capreolus,Cervidae
Capricornis,Bovidae
Caprolagus,Leporidae
Capromys,Capromyidae
Caracal,Felidae
Cardiocranius,Dipodidae
Cardioderma,Megadermatidae
Carlito,Tarsiidae
Carollia,Phyllostomidae
Carpitalpa,Chrysochloridae
Carpomys,Muridae
Carterodon,Echimyidae
Caryomys,Cricetidae
Casinycteris,Pteropodidae
Castor,Castoridae
Catagonus,Tayassuidae
Catopuma,Felidae
Cavia,Caviidae
Cebuella,Callitrichidae
Cebus,Cebidae
Centronycteris,Emballonuridae
Centurio,Phyllostomidae
Cephalophus,Bovidae
Cephalorhynchus,Delphinidae
Ceratotherium,Rhinocerotidae
Cercartetus,Burramyidae
Cercocebus,Cercopithecidae
Cercopithecus,Cercopithecidae
Cerdocyon,Canidae
Cervus,Cervidae
Chaerephon,Molossidae
Chaetocauda,Gliridae
Chaetodipus,Heteromyidae
Chaetomys,Erethizontidae
Chaetophractus,Dasypodidae
Chalinolobus,Vespertilionidae
Cheirogaleus,Cheirogaleidae
Cheiromeles,Molossidae
Chelemys,Cricetidae
Chibchanomys,Cricetidae
Chilomys,Cricetidae
Chilonatalus,Natalidae
Chimarrogale,Soricidae
Chinchilla,Chinchillidae
Chinchillula,Cricetidae
Chionomys,Cricetidae
Chiroderma,Phyllostomidae
Chiromyscus,Muridae
Chironax,Pteropodidae
Chironectes,Didelphidae
Chiropodomys,Muridae
Chiropotes,Pitheciidae
Chiruromys,Muridae
Chlamyphorus,Dasypodidae
Chlorocebus,Cercopithecidae
Chlorotalpa,Chrysochloridae
Chodsigoa,Soricidae
Choeroniscus,Phyllostomidae
Choeronycteris,Phyllostomidae
Choloepus,Megalonychidae
Chrotogale,Viverridae
Chrotomys,Muridae
Chrotopterus,Phyllostomidae
Chrysochloris,Chrysochloridae
Chrysocyon,Canidae
Chrysospalax,Chrysochloridae
Cistugo,Vespertilionidae
Civettictis,Viverridae
Cloeotis,Hipposideridae
Clyomys,Echimyidae
Coccymys,Muridae
Coelops,Hipposideridae
Coendou,Erethizontidae
Coleura,Emballonuridae
Colobus,Cercopithecidae
Colomys,Muridae
Condylura,Talpidae
Conepatus,Mephitidae
Congosorex,Soricidae
Conilurus,Muridae
Connochaetes,Bovidae
Cormura,Emballonuridae
Corynorhinus,Vespertilionidae
Coryphomys,Muridae
Craseonycteris,Craseonycteridae
Crateromys,Muridae
Cratogeomys,Geomyidae
Cremnomys,Muridae
Cricetomys,Nesomyidae
Cricetulus,Cricetidae
Cricetus,Cricetidae
Crocidura,Soricidae
Crocuta,Hyaenidae
Crossarchus,Herpestidae
Crossomys,Muridae
Crunomys,Muridae
Cryptochloris,Chrysochloridae
Cryptomys,Bathyergidae
Cryptoprocta,Eupleridae
Cryptotis,Soricidae
Ctenodactylus,Ctenodactylidae
Ctenomys,Ctenomyidae
Cuniculus,Cuniculidae
Cuon,Canidae
Cuscomys,Abrocomidae
Cyclopes,Cyclopedidae
Cynictis,Herpestidae
Cynocephalus,Cynocephalidae
Cynogale,Viverridae
Cynomops,Molossidae
Cynomys,Sciuridae
Cynopterus,Pteropodidae
Cystophora,Phocidae
Cyttarops,Emballonuridae
Dacnomys,Muridae
Dactylomys,Echimyidae
Dactylopsila,Petauridae
Dama,Cervidae
Damaliscus,Bovidae
Dasycercus,Dasyuridae
Dasykaluta,Dasyuridae
Dasymys,Muridae
Dasyprocta,Dasyproctidae
Dasypus,Dasypodidae
Dasyuroides,Dasyuridae
Dasyurus,Dasyuridae
Daubentonia,Daubentoniidae
Delanymys,Nesomyidae
Delomys,Cricetidae
Delphinapterus,Monodontidae
Delphinus,Delphinidae
Deltamys,Cricetidae
Dendrogale,Tupaiidae
Dendrohyrax,Procaviidae
Dendrolagus,Macropodidae
Dendromus,Nesomyidae
Dendroprionomys,Nesomyidae
Deomys,Muridae
Dephomys,Muridae
Desmana,Talpidae
Desmodilliscus,Muridae
Desmodillus,Muridae
Desmodus,Phyllostomidae
Desmomys,Muridae
Diaemus,Phyllostomidae
Dicerorhinus,Rhinocerotidae
Diceros,Rhinocerotidae
Diclidurus,Emballonuridae
Dicrostonyx,Cricetidae
Didelphis,Didelphidae
Dinaromys,Cricetidae
Dinomys,Dinomyidae
Diomys,Muridae
Diphylla,Phyllostomidae
Diplogale,Viverridae
Diplomesodon,Soricidae
Diplomys,Echimyidae
Diplothrix,Muridae
Dipodillus,Muridae
Dipodomys,Heteromyidae
Dipus,Dipodidae
Distoechurus,Acrobatidae
Dobsonia,Pteropodidae
Dolichotis,Caviidae
Dologale,Herpestidae
Dorcatragus,Bovidae
Dorcopsis,Macropodidae
Dorcopsulus,Macropodidae
Dremomys,Sciuridae
Dromiciops,Microbiotheriidae
Dryomys,Gliridae
Dugong,Dugongidae
Dusicyon,Canidae
Dyacopterus,Pteropodidae
Dymecodon,Talpidae
Echimys,Echimyidae
Echinoprocta,Erethizontidae
Echinops,Tenrecidae
Echinosorex,Erinaceidae
Echiothrix,Muridae
Echymipera,Peramelidae
Ectophylla,Phyllostomidae
Eidolon,Pteropodidae
Eira,Mustelidae
Elaphodus,Cervidae
Elaphurus,Cervidae
Elephantulus,Macroscelididae
Elephas,Elephantidae
Eligmodontia,Cricetidae
Eliomys,Gliridae
Eliurus,Nesomyidae
Ellobius,Cricetidae
Emballonura,Emballonuridae
Enchisthenes,Phyllostomidae
Enhydra,Mustelidae
Eoglaucomys,Sciuridae
Eolagurus,Cricetidae
Eonycteris,Pteropodidae
Eospalax,Spalacidae
Eothenomys,Cricetidae
Eozapus,Dipodidae
Episoriculus,Soricidae
Epixerus,Sciuridae
Epomophorus,Pteropodidae
Epomops,Pteropodidae
Eptesicus,Vespertilionidae
Equus,Equidae
Eremitalpa,Chrysochloridae
Eremodipus,Dipodidae
Erethizon,Erethizontidae
Erignathus,Phocidae
Erinaceus,Erinaceidae
Eropeplus,Muridae
Erophylla,Phyllostomidae
Erythrocebus,Cercopithecidae
Eschrichtius,Eschrichtiidae
Eubalaena,Balaenidae
Euchoreutes,Dipodidae
Euderma,Vespertilionidae
Eudiscopus,Vespertilionidae
Eudorcas,Bovidae
Eulemur,Lemuridae
Eumetopias,Otariidae
Eumops,Molossidae
Euneomys,Cricetidae
Euoticus,Galagidae
Eupetaurus,Sciuridae
Euphractus,Dasypodidae
Eupleres,Eupleridae
Euroscaptor,Talpidae
Euryzygomatomys,Echimyidae
Exilisciurus,Sciuridae
Falsistrellus,Vespertilionidae
Felis,Felidae
Felovia,Ctenodactylidae
Feresa,Delphinidae
Feroculus,Soricidae
Fossa,Eupleridae
Fukomys,Bathyergidae
Funambulus,Sciuridae
Funisciurus,Sciuridae
Furipterus,Furipteridae
Galago,Galagidae
Galagoides,Galagidae
Galea,Caviidae
Galemys,Talpidae
Galenomys,Cricetidae
Galeopterus,Cynocephalidae
Galerella,Herpestidae
Galictis,Mustelidae
Galidia,Eupleridae
Galidictis,Eupleridae
Gazella,Bovidae
Genetta,Viverridae
Geocapromys,Capromyidae
Geogale,Tenrecidae
Geomys,Geomyidae
Georychus,Bathyergidae
Geoxus,Cricetidae
Gerbilliscus,Muridae
Gerbillurus,Muridae
Gerbillus,Muridae
Giraffa,Giraffidae
Glaucomys,Sciuridae
Glauconycteris,Vespertilionidae
Glironia,Didelphidae
Glirulus,Gliridae
Glis,Gliridae
Glischropus,Vespertilionidae
Globicephala,Delphinidae
Glossophaga,Phyllostomidae
Glyphonycteris,Phyllostomidae
Glyphotes,Sciuridae
Golunda,Muridae
Gorilla,Hominidae
Gracilinanus,Didelphidae
Grammomys,Muridae
Grampus,Delphinidae
Graomys,Cricetidae
Graphiurus,Gliridae
Gulo,Mustelidae
Gymnobelideus,Petauridae
Gymnuromys,Nesomyidae
Habromys,Cricetidae
Hadromys,Muridae
Haeromys,Muridae
Halichoerus,Phocidae
Handleyomys,Cricetidae
Hapalemur,Lemuridae
Hapalomys,Muridae
Haplonycteris,Pteropodidae
Harpiocephalus,Vespertilionidae
Harpyionycteris,Pteropodidae
Heimyscus,Muridae
Helarctos,Ursidae
Heliophobius,Bathyergidae
Heliosciurus,Sciuridae
Helogale,Herpestidae
Hemibelideus,Pseudocheiridae
Hemicentetes,Tenrecidae
Hemiechinus,Erinaceidae
Hemigalus,Viverridae
Hemitragus,Bovidae
Herpestes,Herpestidae
Hesperoptenus,Vespertilionidae
Heterocephalus,Bathyergidae
Heterohyrax,Procaviidae
Heteromys,Heteromyidae
Heteropsomys,Echimyidae
Hexaprotodon,Hippopotamidae
Hexolobodon,Capromyidae
Hippocamelus,Cervidae
Hippopotamus,Hippopotamidae
Hipposideros,Hipposideridae
Hippotragus,Bovidae
Histiotus,Vespertilionidae
Histriophoca,Phocidae
Hodomys,Cricetidae
Holochilus,Cricetidae
Homo,Hominidae
Hoplomys,Echimyidae
Horpyiocepalus,Vespertilionidae
Hyaena,Hyaenidae
Hybomys,Muridae
Hydrictis,Mustelidae
Hydrochoerus,Hydrochaeridae
Hydromys,Muridae
Hydropotes,Cervidae
Hydrurga,Phocidae
Hyemoschus,Tragulidae
Hyladelphys,Didelphidae
Hylobates,Hylobatidae
Hylochoerus,Suidae
Hylomys,Erinaceidae
Hylomyscus,Muridae
Hylonycteris,Phyllostomidae
Hylopetes,Sciuridae
Hyomys,Muridae
Hyosciurus,Sciuridae
Hyperacrius,Cricetidae
Hyperoodon,Ziphiidae
Hypogeomys,Nesomyidae
Hypsignathus,Pteropodidae
Hypsiprymnodon,Hypsiprymnodontidae
Hypsugo,Vespertilionidae
Hystrix,Hystricidae
Ia,Vespertilionidae
Ichneumia,Herpestidae
Ichthyomys,Cricetidae
Ictonyx,Mustelidae
Idionycteris,Vespertilionidae
Idiurus,Anomaluridae
Indopacetus,Ziphiidae
Indri,Indriidae
Inia,Iniidae
Iomys,Sciuridae
Irenomys,Cricetidae
Isolobodon,Capromyidae
Isoodon,Peramelidae
Isothrix,Echimyidae
Isthmomys,Cricetidae
Jaculus,Dipodidae
Juliomys,Cricetidae
Juscelinomys,Cricetidae
Kadarsanomys,Muridae
Kannabateomys,Echimyidae
Kerivoula,Vespertilionidae
Kerodon,Caviidae
Kobus,Bovidae
Kogia,Physeteridae
Komodomys,Muridae
Kunsia,Cricetidae
Laephotis,Vespertilionidae
Lagenodelphis,Delphinidae
Lagenorhynchus,Delphinidae
Lagidium,Chinchillidae
Lagorchestes,Macropodidae
Lagostomus,Chinchillidae
Lagostrophus,Macropodidae
Lagothrix,Atelidae
Lagurus,Cricetidae
Lama,Camelidae
Lamottemys,Muridae
Lampronycteris,Phyllostomidae
Lariscus,Sciuridae
Lasionycteris,Vespertilionidae
Lasiopodomys,Cricetidae
Lasiorhinus,Vombatidae
Lasiurus,Vespertilionidae
Latidens,Pteropodidae
Lavia,Megadermatidae
Leggadina,Muridae
Leimacomys,Muridae
Lemmiscus,Cricetidae
Lemmus,Cricetidae
Lemniscomys,Muridae
Lemur,Lemuridae
Lenomys,Muridae
Lenothrix,Muridae
Lenoxus,Cricetidae
Leontopithecus,Cebidae
Leopardus,Felidae
Leopoldamys,Muridae
Lepilemur,Lepilemuridae
Leporillus,Muridae
Leptailurus,Felidae
Leptomys,Muridae
Leptonychotes,Phocidae
Leptonycteris,Phyllostomidae
Lepus,Leporidae
Lestodelphys,Didelphidae
Lestoros,Caenolestidae
Liberiictis,Herpestidae
Lichonycteris,Phyllostomidae
Limnogale,Tenrecidae
Limnomys,Muridae
Liomys,Heteromyidae
Lionycteris,Phyllostomidae
Lipotes,Iniidae
Lissodelphis,Delphinidae
Lissonycteris,Pteropodidae
Litocranius,Bovidae
Llama,Camelidae
Lobodon,Phocidae
Lonchophylla,Phyllostomidae
Lonchorhina,Phyllostomidae
Lonchothrix,Echimyidae
Lontra,Mustelidae
Lophiomys,Cricetidae
Lophocebus,Cercopithecidae
Lophostoma,Phyllostomidae
Lophuromys,Muridae
Lorentzimys,Muridae
Loris,Lorisidae
Loxodonta,Elephantidae
Loxodontomys,Cricetidae
Lundomys,Cricetidae
Lutra,Mustelidae
Lutreolina,Didelphidae
Lutrogale,Mustelidae
Lycalopex,Canidae
Lycaon,Canidae
Lyncodon,Mustelidae
Lynx,Felidae
Macaca,Cercopithecidae
Macroderma,Megadermatidae
Macrogalidia,Viverridae
Macroglossus,Pteropodidae
Macronycteris,Hipposideridae
Macrophyllum,Phyllostomidae
Macropus,Macropodidae
Macroscelides,Macroscelididae
Macrotarsomys,Nesomyidae
Macrotis,Thylacomyidae
Macrotus,Phyllostomidae
Macruromys,Muridae
Madoqua,Bovidae
Madromys,Muridae
Makalata,Echimyidae
Malacomys,Muridae
Malacothrix,Nesomyidae
Mallomys,Muridae
Malpaisomys,Muridae
Mammelomys,Muridae
Mandrillus,Cercopithecidae
Manis,Manidae
Margaretamys,Muridae
Marmosa,Didelphidae
Marmosops,Didelphidae
Marmota,Sciuridae
Martes,Mustelidae
Massoutiera,Ctenodactylidae
Mastacomys,Muridae
Mastomys,Muridae
Maxomys,Muridae
Mazama,Cervidae
Megadendromus,Nesomyidae
Megaderma,Megadermatidae
Megadontomys,Cricetidae
Megaerops,Pteropodidae
Megaloglossus,Pteropodidae
Megalomys,Cricetidae
Megaoryzomys,Cricetidae
Megaptera,Balaenopteridae
Megasorex,Soricidae
Melanomys,Cricetidae
Melasmothrix,Muridae
Meles,Mustelidae
Mellivora,Mustelidae
Melogale,Mustelidae
Melomys,Muridae
Melonycteris,Pteropodidae
Melursus,Ursidae
Menetes,Sciuridae
Mephitis,Mephitidae
Meriones,Muridae
Mesechinus,Erinaceidae
Mesembriomys,Muridae
Mesocapromys,Capromyidae
Mesocricetus,Cricetidae
Mesomys,Echimyidae
Mesophylla,Phyllostomidae
Mesoplodon,Ziphiidae
Metachirus,Didelphidae
Micaelamys,Muridae
Micoureus,Didelphidae
Microakodontomys,Cricetidae
Microcavia,Caviidae
Microcebus,Cheirogaleidae
Microdillus,Muridae
Microdipodops,Heteromyidae
Microgale,Tenrecidae
Microhydromys,Muridae
Micromurexia,Dasyuridae
Micromys,Muridae
Micronycteris,Phyllostomidae
Microperoryctes,Peramelidae
Micropotamogale,Tenrecidae
Micropteropus,Pteropodidae
Microryzomys,Cricetidae
Microsciurus,Sciuridae
Microsorex,Soricidae
Microtus,Cricetidae
Millardia,Muridae
Mimetillus,Vespertilionidae
Mimon,Phyllostomidae
Miniopterus,Miniopteridae
Minopterus,Vespertilionidae
Miopithecus,Cercopithecidae
Mirounga,Phocidae
Mirza,Cheirogaleidae
Mogera,Talpidae
Molossops,Molossidae
Molossus,Molossidae
Monachus,Phocidae
Monodelphis,Didelphidae
Monodon,Monodontidae
Monophyllus,Phyllostomidae
Monticolomys,Nesomyidae
Mops,Molossidae
Mormoops,Mormoopidae
Mormopterus,Molossidae
Moschiola,Tragulidae
Moschus,Moschidae
Mosia,Emballonuridae
Mungos,Herpestidae
Mungotictis,Eupleridae
Muntiacus,Cervidae
Murexechinus,Dasyuridae
Murexia,Dasyuridae
Muriculus,Muridae
Murina,Vespertilionidae
Mus,Muridae
Muscardinus,Gliridae
Musonycteris,Phyllostomidae
Mustela,Mustelidae
Mydaus,Mephitidae
Mylomys,Muridae
Myocastor,Myocastoridae
Myodes,Cricetidae
Myoictis,Dasyuridae
Myomimus,Gliridae
Myomyscus,Muridae
Myonycteris,Pteropodidae
Myoprocta,Dasyproctidae
Myopterus,Molossidae
Myopus,Cricetidae
Myosciurus,Sciuridae
Myosorex,Soricidae
Myospalax,Spalacidae
Myotis,Vespertilionidae
Myotomys,Muridae
Myoxus,Gliridae
Myrmecobius,Myrmecobiidae
Myrmecophaga,Myrmecophagidae
Mysateles,Capromyidae
Mystacina,Mystacinidae
Mystromys,Nesomyidae
Myzopoda,Myzopodidae
Naemorhedus,Bovidae
Nandinia,Nandiniidae
Nanger,Bovidae
Nannosciurus,Sciuridae
Nannospalax,Spalacidae
Nanonycteris,Pteropodidae
Napaeozapus,Dipodidae
Nasalis,Cercopithecidae
Nasua,Procyonidae
Nasuella,Procyonidae
Natalus,Natalidae
Neacomys,Cricetidae
Neamblysomus,Chrysochloridae
Necromys,Cricetidae
Nectogale,Soricidae
Nectomys,Cricetidae
Nelsonia,Cricetidae
Neodon,Cricetidae
Neofelis,Felidae
Neofiber,Cricetidae
Neogale,Mustelidae
Neohylomys,Erinaceidae
Neomys,Soricidae
Neonycteris,Phyllostomidae
Neophascogale,Dasyuridae
Neophoca,Otariidae
Neophocaena,Phocoenidae
Neopteryx,Pteropodidae
Neoromicia,Vespertilionidae
Neotetracus,Erinaceidae
Neotoma,Cricetidae
Neotomodon,Cricetidae
Neotomys,Cricetidae
Neotragus,Bovidae
Neovison,Mustelidae
Nesiotites,Soricidae
Nesogale,Tenrecidae
Nesokia,Muridae
Nesolagus,Leporidae
Nesomys,Nesomyidae
Nesoromys,Muridae
Nesoryzomys,Cricetidae
Neurotrichus,Talpidae
Neusticomys,Cricetidae
Nilopegamys,Muridae
Ningaui,Dasyuridae
Niviventer,Muridae
Noctilio,Noctilionidae
Nomascus,Hylobatidae
Noronhomys,Cricetidae
Notamacropus,Macropodidae
Notiomys,Cricetidae
Notiosorex,Soricidae
Notomys,Muridae
Notopteris,Pteropodidae
Notoryctes,Notoryctidae
Nyctalus,Vespertilionidae
Nyctereutes,Canidae
Nycteris,Nycteridae
Nycticebus,Lorisidae
Nycticeinops,Vespertilionidae
Nycticeius,Vespertilionidae
Nyctiellus,Natalidae
Nyctimene,Pteropodidae
Nyctinomops,Molossidae
Nyctomys,Cricetidae
Nyctophilus,Vespertilionidae
Ochotona,Ochotonidae
Ochrotomys,Cricetidae
Octodon,Octodontidae
Octodontomys,Octodontidae
Octomys,Octodontidae
Odobenus,Odobenidae
Odocoileus,Cervidae
Oecomys,Cricetidae
Oenomys,Muridae
Okapia,Giraffidae
Olallamys,Echimyidae
Oligoryzomys,Cricetidae
Ommatophoca,Phocidae
Ondatra,Cricetidae
Onychogalea,Macropodidae
Onychomys,Cricetidae
Orcaella,Delphinidae
Orcinus,Delphinidae
Oreamnos,Bovidae
Oreonax,Atelidae
Oreotragus,Bovidae
Ornithorhynchus,Ornithorhynchidae
Orthogeomys,Geomyidae
Orycteropus,Orycteropodidae
Oryctolagus,Leporidae
Oryx,Bovidae
Oryzomys,Cricetidae
Oryzorictes,Tenrecidae
Osgoodomys,Cricetidae
Osphranter,Macropodidae
Otaria,Otariidae
Otocyon,Canidae
Otolemur,Galagidae
Otomops,Molossidae
Otomys,Muridae
Otonycteris,Vespertilionidae
Otonyctomys,Cricetidae
Otopteropus,Pteropodidae
Ototylomys,Cricetidae
Ourebia,Bovidae
Ovibos,Bovidae
Ovis,Bovidae
Oxymycterus,Cricetidae
Ozotoceros,Cervidae
Pachyuromys,Muridae
Pagophilus,Phocidae
Paguma,Viverridae
Palawanomys,Muridae
Pan,Hominidae
Panthera,Felidae
Pantholops,Bovidae
Papagomys,Muridae
Papio,Cercopithecidae
Pappogeomys,Geomyidae
Paracoelops,Hipposideridae
Paracrocidura,Soricidae
Paracynictis,Herpestidae
Paradipus,Dipodidae
Paradoxurus,Viverridae
Paraechinus,Erinaceidae
Parahydromys,Muridae
Paraleptomys,Muridae
Paralomys,Cricetidae
Paramelomys,Muridae
Paramurexia,Dasyuridae
Parantechinus,Dasyuridae
Paranyctimene,Pteropodidae
Parascalops,Talpidae
Parascaptor,Talpidae
Paraxerus,Sciuridae
Pardofelis,Felidae
Parotomys,Muridae
Paruromys,Muridae
Paulamys,Muridae
Pearsonomys,Cricetidae
Pecari,Tayassuidae
Pectinator,Ctenodactylidae
Pedetes,Pedetidae
Pelea,Bovidae
Pelomys,Muridae
Pentalagus,Leporidae
Penthetor,Pteropodidae
Peponocephala,Delphinidae
Perameles,Peramelidae
Perodicticus,Lorisidae
Perognathus,Heteromyidae
Peromyscus,Cricetidae
Peropteryx,Emballonuridae
Peroryctes,Peramelidae
Petaurillus,Sciuridae
Petaurista,Sciuridae
Petauroides,Pseudocheiridae
Petaurus,Petauridae
Petinomys,Sciuridae
Petrodromus,Macroscelididae
Petrogale,Macropodidae
Petromus,Petromuridae
Petromyscus,Nesomyidae
Petropseudes,Pseudocheiridae
Phacochoerus,Suidae
Phaenomys,Cricetidae
Phaiomys,Cricetidae
Phalanger,Phalangeridae
Phaner,Cheirogaleidae
Pharotis,Vespertilionidae
Phascogale,Dasyuridae
Phascolarctos,Phascolarctidae
Phascolosorex,Dasyuridae
Phascomurexia,Dasyuridae
Phenacomys,Cricetidae
Philander,Didelphidae
Philantomba,Bovidae
Philetor,Vespertilionidae
Phloeomys,Muridae
Phoca,Phocidae
Phocarctos,Otariidae
Phocoena,Phocoenidae
Phocoenoides,Phocoenidae
Phodopus,Cricetidae
Phoniscus,Vespertilionidae
Phylloderma,Phyllostomidae
Phyllomys,Echimyidae
Phyllonycteris,Phyllostomidae
Phyllops,Phyllostomidae
Phyllostomus,Phyllostomidae
Phyllotis,Cricetidae
Physeter,Physeteridae
Piliocolobus,Cercopithecidae
Pipanacoctomys,Octodontidae
Pipistrellus,Vespertilionidae
Pithecheir,Muridae
Pithecheirops,Muridae
Pithecia,Pitheciidae
Plagiodontia,Capromyidae
Planigale,Dasyuridae
Platacanthomys,Platacanthomyidae
Platalina,Phyllostomidae
Platanista,Platanistidae
Platymops,Molossidae
Platyrrhinus,Phyllostomidae
Plecotus,Vespertilionidae
Plecturocebus,Pitheciidae
Plerotes,Pteropodidae
Podogymnura,Erinaceidae
Podomys,Cricetidae
Podoxymys,Cricetidae
Poecilogale,Mustelidae
Poelagus,Leporidae
Pogonomelomys,Muridae
Pogonomys,Muridae
Poiana,Viverridae
Pongo,Hominidae
Pontoporia,Iniidae
Potamochoerus,Suidae
Potamogale,Tenrecidae
Potorous,Potoroidae
Potos,Procyonidae
Praomys,Muridae
Presbytis,Cercopithecidae
Priodontes,Dasypodidae
Prionailurus,Felidae
Prionodon,Viverridae
Prionomys,Nesomyidae
Procapra,Bovidae
Procavia,Procaviidae
Procolobus,Cercopithecidae
Procyon,Procyonidae
Proechimys,Echimyidae
Proedromys,Cricetidae
Profelis,Felidae
Prolemur,Lemuridae
Prometheomys,Cricetidae
Promops,Molossidae
Pronolagus,Leporidae
Propithecus,Indriidae
Prosciurillus,Sciuridae
Proteles,Hyaenidae
Protochromys,Muridae
Protoxerus,Sciuridae
Przewalskium,Cervidae
Psammomys,Muridae
Pseudantechinus,Dasyuridae
Pseudocheirus,Pseudocheiridae
Pseudochirops,Pseudocheiridae
Pseudochirulus,Pseudocheiridae
Pseudohydromys,Muridae
Pseudois,Bovidae
Pseudomys,Muridae
Pseudopotto,Lorisidae
Pseudorca,Delphinidae
Pseudoryx,Bovidae
Pseudoryzomys,Cricetidae
Ptenochirus,Pteropodidae
Pteralopex,Pteropodidae
Pteromys,Sciuridae
Pteromyscus,Sciuridae
Pteronotus,Mormoopidae
Pteronura,Mustelidae
Pteropus,Pteropodidae
Ptilocercus,Ptilocercidae
Pudu,Cervidae
Puma,Felidae
Punomys,Cricetidae
Pusa,Phocidae
Pygathrix,Cercopithecidae
Pygeretmus,Dipodidae
Pygoderma,Phyllostomidae
Rangifer,Cervidae
Raphicerus,Bovidae
Rattus,Muridae
Ratufa,Sciuridae
Redunca,Bovidae
Reithrodon,Cricetidae
Reithrodontomys,Cricetidae
Rhabdomys,Muridae
Rhagamys,Muridae
Rhagomys,Cricetidae
Rheithrosciurus,Sciuridae
Rheomys,Cricetidae
Rhinoceros,Rhinocerotidae
Rhinolophus,Rhinolophidae
Rhinonicteris,Hipposideridae
Rhinophylla,Phyllostomidae
Rhinopithecus,Cercopithecidae
