paper,item,Code,Structure,canonical_structure,domain,Measure,measure_class,Stat,role,taxon,Definition
Peruffo_etal_2019,Peruffo_etal_2019_Table2,age_class,NA,(structure-agnostic; see data columns),NA,Age class,Age class,NA,info,Ovis aries,reported life-history age class
__merging_cortical_layers,__merging_cortical_layers,age_class,NA,(structure-agnostic; see data columns),NA,Age class,Age class,NA,primary,NA,reported age class
Turner_etal_2016,Turner_etal_2016_Table1,age_years,NA,(structure-agnostic; see data columns),NA,Age.years,Age.years,NA,info,Primates,age of the animal
deSousa_etal_2009,deSousa_etal_2009_Table1,age_yrs,NA,(structure-agnostic; see data columns),NA,Age.years,Age.years,NA,info,Apes & humans + M. fascicularis,age at death in years as printed (NA = not recorded)
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,value_basis,NA,(structure-agnostic; see data columns),NA,Basis,Basis,NA,info,14 mammal species,provenance class of the value
Hutsler_etal_2005,Hutsler_etal_2005_Figure6,value_basis,NA,(structure-agnostic; see data columns),NA,Basis,Basis,NA,info,13 mammal species,provenance class of the value
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019,cell_type,NA,(structure-agnostic; see data columns),NA,CellType,CellType,NA,primary,NA,Total / Neurons / Non-neurons (cell tables only; NA for volumes)
Navarrete_etal_2016,Navarrete_etal_2016_Data,parvorder_printed,NA,(structure-agnostic; see data columns),NA,Class,Class,NA,info,Primates,parvorder label in the deposited file
Navarrete_etal_2016,Navarrete_etal_2016_Data,family_printed,NA,(structure-agnostic; see data columns),NA,Class,Class,NA,info,Primates,family label in the deposited file
Navarrete_etal_2016,Navarrete_etal_2016_Data,innovator,NA,(structure-agnostic; see data columns),NA,Class,Class,NA,primary,Primates,whether Reader et al. 2011 reported at least one innovation
Olkowicz_etal_2016,Olkowicz_etal_2016_DatasetS1,order_printed,NA,(structure-agnostic; see data columns),NA,Class,Class,NA,info,Aves,avian order printed in Dataset S1
Olkowicz_etal_2016,Olkowicz_etal_2016_DatasetS1,Class,NA,(structure-agnostic; see data columns),NA,Class,Class,NA,info,Aves,vertebrate class
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,common_name_printed,NA,(structure-agnostic; see data columns),NA,Common name,Common name,NA,info,14 mammal species,common name from Table 1
Hutsler_etal_2005,Hutsler_etal_2005_Table1,common_name_printed,NA,(structure-agnostic; see data columns),NA,Common name,Common name,NA,info,14 mammal species,common name exactly as printed
Ashwell__2020,Ashwell__2020,common_name,NA,(structure-agnostic; see data columns),NA,CommonName,CommonName,NA,primary,Mammalia,common English name for the taxon as printed in the supplementary table
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,compatibility,NA,(structure-agnostic; see data columns),NA,Compatibility,Compatibility,NA,note,14 mammal species,intended use and granularity warning
Navarrete_etal_2016,Navarrete_etal_2016_Data,life_history_composite,NA,(structure-agnostic; see data columns),NA,Composite,Composite,score,secondary,Primates,phylogenetic principal-component score from six life-history variables
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019,group,NA,(structure-agnostic; see data columns),NA,Condition,Condition,NA,primary,NA,nutrition group: C = control / LP = low protein / LCP = low calorie+protein
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,conflict_group_id,NA,(structure-agnostic; see data columns),NA,Conflict,Conflict,NA,note,14 mammal species,identifier tying mutually inconsistent printed summaries
deSousa_etal_2010,deSousa_etal_2010,correction_factor,NA,(structure-agnostic; see data columns),NA,CorrectionFactor,CorrectionFactor,NA,primary,NA,shrinkage correction factor (fresh vol / slide vol)
Jacobs_etal_2015,Jacobs_etal_2015_Table1,doi,NA,(structure-agnostic; see data columns),NA,DOI,DOI,NA,info,Giraffa camelopardalis,digital object identifier
Jacobs_etal_2016,Jacobs_etal_2016_Table1,doi,NA,(structure-agnostic; see data columns),NA,DOI,DOI,NA,info,Giraffa camelopardalis and Loxodonta africana,digital object identifier
Johnson_etal_2016,Johnson_etal_2016_Table1,doi,NA,(structure-agnostic; see data columns),NA,DOI,DOI,NA,info,Panthera tigris altaica and Neofelis nebulosa,digital object identifier
Peruffo_etal_2019,Peruffo_etal_2019_Table2,doi,NA,(structure-agnostic; see data columns),NA,DOI,DOI,NA,info,Ovis aries,digital object identifier
__merging_cortical_layers,__merging_cortical_layers,doi,NA,(structure-agnostic; see data columns),NA,DOI,DOI,NA,info,NA,digital object identifier
Bush_Allman_2004_a,Bush_Allman_2004_a,diet,NA,(structure-agnostic; see data columns),NA,Diet,Diet,NA,secondary,NA,diet category
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,digitization_flag,NA,(structure-agnostic; see data columns),NA,Flag,Flag,NA,note,14 mammal species,row-specific digitization caveat
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,qa_note,NA,(structure-agnostic; see data columns),NA,Flag,Flag,NA,note,14 mammal species,paper-level reconciliation warning
Hutsler_etal_2005,Hutsler_etal_2005_Figure6,caption_flag,NA,(structure-agnostic; see data columns),NA,Flag,Flag,NA,note,13 mammal species,internal caption/axis inconsistency warning
Semendeferi_etal_1998,Semendeferi_etal_1998,data_role,NA,(structure-agnostic; see data columns),NA,Flag,Flag,NA,primary,Apes & humans & macaque,primary vs secondary/compiled flag
Semendeferi_etal_2001,Semendeferi_etal_2001,data_role,NA,(structure-agnostic; see data columns),NA,Flag,Flag,NA,primary,Apes & humans & macaque,primary vs secondary/compiled flag
Deaner_etal_2006,Deaner_etal_2006_Table1,Genus,NA,(structure-agnostic; see data columns),NA,Genus,Genus,NA,primary,Primates,primate genus
Bush_Allman_2003,Bush_Allman_2003,group,NA,(structure-agnostic; see data columns),NA,Group,Group,NA,primary,NA,taxonomic group header from table
Bush_Allman_2004_a,Bush_Allman_2004_a,group_size,NA,(structure-agnostic; see data columns),NA,GroupSize,GroupSize,NA,secondary,NA,mean group size
Heiss_etal_2004,Heiss_etal_2004,category,NA,(structure-agnostic; see data columns),NA,Grouping,Grouping,NA,primary,Homo sapiens,region grouping (Cerebral cortex / Forebrain nuclei / Brain stem nuclei / Cerebellum / White matter)
Jacobs_etal_2015,Jacobs_etal_2015_Table1,hemisphere,NA,(structure-agnostic; see data columns),NA,Hemisphere,Hemisphere,NA,info,Giraffa camelopardalis,hemisphere sampled
Jacobs_etal_2016,Jacobs_etal_2016_Table1,hemisphere,NA,(structure-agnostic; see data columns),NA,Hemisphere,Hemisphere,NA,info,Giraffa camelopardalis and Loxodonta africana,hemisphere sampled
Johnson_etal_2016,Johnson_etal_2016_Table1,hemisphere,NA,(structure-agnostic; see data columns),NA,Hemisphere,Hemisphere,NA,info,Panthera tigris altaica and Neofelis nebulosa,hemisphere sampled
Peruffo_etal_2019,Peruffo_etal_2019_Table2,hemisphere,NA,(structure-agnostic; see data columns),NA,Hemisphere,Hemisphere,NA,info,Ovis aries,hemisphere sampled
__merging_cortical_layers,__merging_cortical_layers,hemisphere,NA,(structure-agnostic; see data columns),NA,Hemisphere,Hemisphere,NA,info,NA,hemisphere sampled
Ruf_Geiser_2015,Ruf_Geiser_2015_Table1,latitude_deg,NA,(structure-agnostic; see data columns),NA,Latitude.deg,Latitude.deg,point,info,"Birds & mammals (43 birds, 171 mammals)","latitude of the mid-point of the species' range, in degrees (positive = North, negative = South)"
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019,measure,NA,(structure-agnostic; see data columns),NA,MeasureType,MeasureType,NA,primary,NA,absolute_volume | cell_number | cell_density
__merging_cortical_layers,__merging_cortical_layers,merge_default,NA,(structure-agnostic; see data columns),NA,Merge status,Merge status,NA,primary,NA,TRUE for the one source summary selected by default
__merging_cortical_layers,__merging_cortical_layers,observation_id,NA,(structure-agnostic; see data columns),NA,Observation identifier,Observation identifier,NA,primary,NA,stable within-merge observation key
Jacobs_etal_2015,Jacobs_etal_2015_Table1,observation_level,NA,(structure-agnostic; see data columns),NA,Observation level,Observation level,NA,info,Giraffa camelopardalis,individual versus single-specimen or species summary
Jacobs_etal_2016,Jacobs_etal_2016_Table1,observation_level,NA,(structure-agnostic; see data columns),NA,Observation level,Observation level,NA,info,Giraffa camelopardalis and Loxodonta africana,individual versus single-specimen or species summary
Johnson_etal_2016,Johnson_etal_2016_Table1,observation_level,NA,(structure-agnostic; see data columns),NA,Observation level,Observation level,NA,info,Panthera tigris altaica and Neofelis nebulosa,individual versus single-specimen or species summary
Peruffo_etal_2019,Peruffo_etal_2019_Table2,observation_level,NA,(structure-agnostic; see data columns),NA,Observation level,Observation level,NA,info,Ovis aries,individual versus single-specimen or species summary
__merging_cortical_layers,__merging_cortical_layers,observation_level,NA,(structure-agnostic; see data columns),NA,Observation level,Observation level,NA,primary,NA,individual versus single-specimen species or group summary
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,order_printed,NA,(structure-agnostic; see data columns),NA,Order,Order,NA,info,14 mammal species,mammalian order exactly as printed
Hutsler_etal_2005,Hutsler_etal_2005_Figure6,order_printed,NA,(structure-agnostic; see data columns),NA,Order,Order,NA,info,13 mammal species,mammalian order exactly as printed
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,order,NA,(structure-agnostic; see data columns),NA,Order,Order,NA,primary,14 mammal species,mammalian order or all
Hutsler_etal_2005,Hutsler_etal_2005_Table1,order_printed,NA,(structure-agnostic; see data columns),NA,Order,Order,NA,info,14 mammal species,mammalian order exactly as printed
Heuer_etal_2019,Heuer_etal_2019_S1,SNR,NA,(structure-agnostic; see data columns),NA,Ratio,Ratio,point,info,Primates,signal-to-noise ratio of the scan
Nudo_etal_1995,Nudo_etal_1995_TABLE2,correction_term,NA,(structure-agnostic; see data columns),NA,Ratio,Ratio,point,method,24 mammals: 9 orders / 16 families / 21 genera (Marsupialia + Eutheria),stereological overcounting-correction factor applied to the raw profile count
Kaufman__2004,Kaufman__2004_TableA1..A14,Reference,NA,(structure-agnostic; see data columns),NA,Reference,Reference,NA,info,Mammals,"literature citation for the study, as printed (author, year)"
Hutsler_etal_2005,Hutsler_etal_2005_Figure6,region_printed,NA,(structure-agnostic; see data columns),NA,Region,Region,NA,info,13 mammal species,region label exactly as printed in legend
Hutsler_etal_2005,Hutsler_etal_2005_Figure6,region,NA,(structure-agnostic; see data columns),NA,Region,Region,NA,primary,13 mammal species,standardized cortical region
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,region,NA,(structure-agnostic; see data columns),NA,Region,Region,NA,primary,14 mammal species,cortical region or stated aggregation
Jacobs_etal_2015,Jacobs_etal_2015_Table1,sampling_detail,NA,(structure-agnostic; see data columns),NA,Sampling,Sampling,NA,info,Giraffa camelopardalis,sampling and aggregation details
Jacobs_etal_2016,Jacobs_etal_2016_Table1,sampling_detail,NA,(structure-agnostic; see data columns),NA,Sampling,Sampling,NA,info,Giraffa camelopardalis and Loxodonta africana,sampling and aggregation details
Johnson_etal_2016,Johnson_etal_2016_Table1,sampling_detail,NA,(structure-agnostic; see data columns),NA,Sampling,Sampling,NA,info,Panthera tigris altaica and Neofelis nebulosa,sampling and aggregation details
Peruffo_etal_2019,Peruffo_etal_2019_Table2,sampling_detail,NA,(structure-agnostic; see data columns),NA,Sampling,Sampling,NA,info,Ovis aries,sampling and aggregation details
__merging_cortical_layers,__merging_cortical_layers,sampling_detail,NA,(structure-agnostic; see data columns),NA,Sampling,Sampling,NA,info,NA,sampling and aggregation details
Hutsler_etal_2005,Hutsler_etal_2005_Figure3,scientific_name_printed,NA,(structure-agnostic; see data columns),NA,Scientific name,Scientific name,NA,info,14 mammal species,scientific name exactly as printed in Table 1
Hutsler_etal_2005,Hutsler_etal_2005_Table1,scientific_name_printed,NA,(structure-agnostic; see data columns),NA,Scientific name,Scientific name,NA,info,14 mammal species,scientific name exactly as printed
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,scope,NA,(structure-agnostic; see data columns),NA,Scope,Scope,NA,info,14 mammal species,analysis stratum named in the paper
Capellini_etal_2008,Capellini_etal_2008_sleep-data,Lab_condition_score,NA,(structure-agnostic; see data columns),NA,Score,Score,point,info,Mammals,composite laboratory-condition quality score
Bush_Allman_2004_a,Bush_Allman_2004_a,group_type,NA,(structure-agnostic; see data columns),NA,SocialGroup,SocialGroup,NA,secondary,NA,social group type
Hutsler_etal_2005,Hutsler_etal_2005_ReportedValues,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,14 mammal species,page and section location
Jacobs_etal_2015,Jacobs_etal_2015_Table1,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,Giraffa camelopardalis,table and PDF location
Jacobs_etal_2016,Jacobs_etal_2016_Table1,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,Giraffa camelopardalis and Loxodonta africana,table and PDF location
Johnson_etal_2016,Johnson_etal_2016_Table1,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,Panthera tigris altaica and Neofelis nebulosa,table and PDF location
Peruffo_etal_2019,Peruffo_etal_2019_Table2,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,Ovis aries,table and PDF location
__merging_cortical_layers,__merging_cortical_layers,source_location,NA,(structure-agnostic; see data columns),NA,Source location,Source location,NA,info,NA,table page or results location
Jacobs_etal_2015,Jacobs_etal_2015_Table1,source_table,NA,(structure-agnostic; see data columns),NA,Source table,Source table,NA,info,Giraffa camelopardalis,printed source table
Jacobs_etal_2016,Jacobs_etal_2016_Table1,source_table,NA,(structure-agnostic; see data columns),NA,Source table,Source table,NA,info,Giraffa camelopardalis and Loxodonta africana,printed source table
Johnson_etal_2016,Johnson_etal_2016_Table1,source_table,NA,(structure-agnostic; see data columns),NA,Source table,Source table,NA,info,Panthera tigris altaica and Neofelis nebulosa,printed source table
Peruffo_etal_2019,Peruffo_etal_2019_Table2,source_table,NA,(structure-agnostic; see data columns),NA,Source table,Source table,NA,info,Ovis aries,printed source table
__merging_cortical_layers,__merging_cortical_layers,source_table,NA,(structure-agnostic; see data columns),NA,Source table,Source table,NA,info,NA,printed source table
Heiss_etal_2004,Heiss_etal_2004,P,NA,(structure-agnostic; see data columns),NA,Stat,Stat,p,secondary,Homo sapiens,p-value for the hemispheric asymmetry
__merging_cortical_layers,__merging_cortical_layers,status,NA,(structure-agnostic; see data columns),NA,Status,Status,NA,info,NA,active species row or active group summary
Kaufman__2004,Kaufman__2004_TableA1..A14,Region,NA,(structure-agnostic; see data columns),NA,Structure,Structure,NA,primary,Mammals,brain region for this table (dissertation's own Appendix numbering)
Kaufman__2004,Kaufman__2004_TableA15,region,NA,(structure-agnostic; see data columns),NA,Structure,Structure,NA,primary,Mammals,"brain region (Whole Brain, Cortex, and 12 sub-regions)"
Stephan_etal_1987,Stephan_etal_1987,group,NA,(structure-agnostic; see data columns),NA,Taxon,Taxon,NA,primary,Insectivora–Primates (incl. Homo),printed taxonomic section (Macroscelidea/Insectivora/Scandentia/Prosimii/Simiae)
Jacobs_etal_2015,Jacobs_etal_2015_Table1,taxon_level,NA,(structure-agnostic; see data columns),NA,Taxon level,Taxon level,NA,info,Giraffa camelopardalis,taxonomic aggregation level
Jacobs_etal_2016,Jacobs_etal_2016_Table1,taxon_level,NA,(structure-agnostic; see data columns),NA,Taxon level,Taxon level,NA,info,Giraffa camelopardalis and Loxodonta africana,taxonomic aggregation level
Johnson_etal_2016,Johnson_etal_2016_Table1,taxon_level,NA,(structure-agnostic; see data columns),NA,Taxon level,Taxon level,NA,info,Panthera tigris altaica and Neofelis nebulosa,taxonomic aggregation level
Peruffo_etal_2019,Peruffo_etal_2019_Table2,taxon_level,NA,(structure-agnostic; see data columns),NA,Taxon level,Taxon level,NA,info,Ovis aries,taxonomic aggregation level
__merging_cortical_layers,__merging_cortical_layers,taxon_level,NA,(structure-agnostic; see data columns),NA,Taxon level,Taxon level,NA,primary,NA,species order or cross-species summary
Ashwell__2020,Ashwell__2020,group,NA,(structure-agnostic; see data columns),NA,TaxonGroup,TaxonGroup,NA,primary,Mammalia,higher-level taxonomic/phylogenetic group as printed in the supplementary table
Eagleman_Vaughn_2021,Eagleman_Vaughn_2021_TABLE1,Phylogenetic_distance_Mya,NA,(structure-agnostic; see data columns),NA,Time.Mya,Time.Mya,point,info,"Primates (25 species, incl. Homo)","divergence time from humans, in millions of years"
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019,units,NA,(structure-agnostic; see data columns),NA,Units,Units,NA,primary,NA,mm3 (volumes); 10^6 cells (cell number); 10^3 cells/mg (density)
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019,value,NA,(structure-agnostic; see data columns),NA,Value,Value,NA,primary,NA,numeric value for the (group x region x measure[x cell_type]) cell
Jacobs_etal_2015,Jacobs_etal_2015_Table1,value_basis,NA,(structure-agnostic; see data columns),NA,Value basis,Value basis,NA,info,Giraffa camelopardalis,relationship of value to printed source
Jacobs_etal_2016,Jacobs_etal_2016_Table1,value_basis,NA,(structure-agnostic; see data columns),NA,Value basis,Value basis,NA,info,Giraffa camelopardalis and Loxodonta africana,relationship of value to printed source
Johnson_etal_2016,Johnson_etal_2016_Table1,value_basis,NA,(structure-agnostic; see data columns),NA,Value basis,Value basis,NA,info,Panthera tigris altaica and Neofelis nebulosa,relationship of value to printed source
Peruffo_etal_2019,Peruffo_etal_2019_Table2,value_basis,NA,(structure-agnostic; see data columns),NA,Value basis,Value basis,NA,info,Ovis aries,relationship of value to printed source
__merging_cortical_layers,__merging_cortical_layers,value_basis,NA,(structure-agnostic; see data columns),NA,Value basis,Value basis,NA,info,NA,printed derived or text-supported value basis
Kirk_Kay_2004,Kirk_Kay_2004_Table1,activity_pattern,NA,(structure-agnostic; see data columns),NA,activity pattern,activity pattern,NA,secondary,Mammalia,Diurnal / Cathemeral / Nocturnal (+ 'Nocturnal or Cathemeral')
Kirk_Kay_2004,Kirk_Kay_2004_Table2,activity_pattern,NA,(structure-agnostic; see data columns),NA,activity pattern,activity pattern,NA,secondary,Mammalia,Diurnal / Cathemeral / Nocturnal (+ 'Nocturnal or Cathemeral')
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,date_min_yBP,NA,(structure-agnostic; see data columns),NA,age.yBP,age.yBP,min,primary,Homo,younger bound of specimen date (years before present)
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,date_max_yBP,NA,(structure-agnostic; see data columns),NA,age.yBP,age.yBP,max,primary,Homo,older bound of specimen date (yBP)
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,date_mean_yBP,NA,(structure-agnostic; see data columns),NA,age.yBP,age.yBP,mean,secondary,Homo,midpoint of the specimen date range (derived)
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,species_divergence_min_yBP,NA,(structure-agnostic; see data columns),NA,age.yBP,age.yBP,min,info,Homo,younger bound of NT-H.sapiens lineage divergence
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,species_divergence_max_yBP,NA,(structure-agnostic; see data columns),NA,age.yBP,age.yBP,max,info,Homo,older bound of NT-H.sapiens lineage divergence
Heffner_Heffner_1992_a,Heffner_Heffner_1992_a_Table1,sound_localization_threshold_deg,NA,(structure-agnostic; see data columns),NA,angle.deg,angle.deg,threshold,secondary,"Mammalia (24 rows, 23 spp; wild + domestic Norway rat separate)","Minimum audible angle around the median sagittal plane; 75% correct for two-choice procedures, 50% detection for conditioned avoidance (footnote 1)"
Heffner_Heffner_1992_a,Heffner_Heffner_1992_a_Table1,binocular_field_deg,NA,(structure-agnostic; see data columns),NA,angle.deg,angle.deg,value,primary,Mammalia (20 spp),"Width of the angle of overlap of the left and right retinal fields, in degrees"
Veilleux_Kirk_2014,Veilleux_Kirk_2014_SupplementalTable1,activity_pattern,NA,(structure-agnostic; see data columns),NA,categorical,categorical,value,secondary,Mammalia (subset),"Activity pattern (AP): D = diurnal, C = cathemeral/arrhythmic, N = nocturnal"
Veilleux_Kirk_2014,Veilleux_Kirk_2014_SupplementalTable1,diet,NA,(structure-agnostic; see data columns),NA,categorical,categorical,value,secondary,Mammalia (subset),"Diet: H = herbivorous, P = active predator (reported to actively catch moving prey; legend footnote 1)"
AvelinodeSouza_etal_2025,AvelinodeSouza_etal_2025_TABLE1,Neurons,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,primary,Cetaceans & other placental mammals,number of neurons
AvelinodeSouza_etal_2025,AvelinodeSouza_etal_2025_TABLE1,Non-neuronal cells,NA,(structure-agnostic; see data columns),NA,O.n,count (number),NA,primary,Cetaceans & other placental mammals,number of other (non-neuronal) cells
Burish_etal_2010,Burish_etal_2010,N,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,review,Primates (+ other mammals),average number of neurons
Burish_etal_2010,Burish_etal_2010,O,NA,(structure-agnostic; see data columns),NA,O.n,count (number),NA,review,Primates (+ other mammals),average number of other (nonneuronal) cells in the structure
Capellini_etal_2008,Capellini_etal_2008_sleep-data,N_reported,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Mammals,number of animals as printed by the primary study
Capellini_etal_2008,Capellini_etal_2008_sleep-data,N_in_mean,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Mammals,number of animals contributing to the calculated mean
Capellini_etal_2008,Capellini_etal_2008_sleep-data,Animals_sampled,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Mammals,number of animals sampled
Changizi_Shimojo_2005,Changizi_Shimojo_2005_Table2,n_areas_reported,NA,(structure-agnostic; see data columns),NA,count,count (number),NA,note,"Mammalia, 16 spp. (monotremes, marsupials, eulipotyphlans, bats, rodents, tree shrew, primates)",how many of the five areas carry a printed value in that row
DosSantos_etal_2017,DosSantos_etal_2017_TableS1,N,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,primary,Marsupials,number of neurons
DosSantos_etal_2020,DosSantos_etal_2020_Table1,C,NA,(structure-agnostic; see data columns),NA,C.n,count (number),NA,primary,Mammals,Total number of cells in the structure
DosSantos_etal_2020,DosSantos_etal_2020_Table1,N,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,primary,Mammals,Total number of neurons in the structure
DosSantos_etal_2020,DosSantos_etal_2020_Table1,I,NA,(structure-agnostic; see data columns),NA,I.n,count (number),NA,primary,Mammals,Total number of microglia in the structure
DosSantos_etal_2020,DosSantos_etal_2020_Table1,No. of samples,NA,(structure-agnostic; see data columns),NA,S.n,count (number),NA,primary,Mammals,number of samples of free nuclei prepared with isotropic fractionator
Gabi_etal_2016,Gabi_etal_2016_TableS1,n,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Primates (incl. human),number of hemispheres
HerculanoHouzel_etal_2015,HerculanoHouzel_etal_2015,"N, n",NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,both,Mammals,number of neurons
HerculanoHouzel_etal_2015,HerculanoHouzel_etal_2015,"O, n",NA,(structure-agnostic; see data columns),NA,O.n,count (number),NA,both,Mammals,number of other cells
Heuer_etal_2019,Heuer_etal_2019_S1,volume_dim_x,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Primates,image matrix size along x
Heuer_etal_2019,Heuer_etal_2019_S1,volume_dim_y,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Primates,image matrix size along y
Heuer_etal_2019,Heuer_etal_2019_S1,volume_dim_z,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Primates,image matrix size along z
Heuer_etal_2019,Heuer_etal_2019_Table1,n_individuals,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,info,Primates,number of individuals scanned for that species
Jacobs_etal_2015,Jacobs_etal_2015_Table1,n_specimens,NA,(structure-agnostic; see data columns),NA,Count,count (number),NA,info,Giraffa camelopardalis,number of specimens represented
Jacobs_etal_2016,Jacobs_etal_2016_Table1,n_specimens,NA,(structure-agnostic; see data columns),NA,Count,count (number),NA,info,Giraffa camelopardalis and Loxodonta africana,number of specimens represented
JardimMesseder_etal_2017,JardimMesseder_etal_2017_Table1,N,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,primary,Carnivores & other companion mammals,number of neurons
JardimMesseder_etal_2017,JardimMesseder_etal_2017_Table1,O,NA,(structure-agnostic; see data columns),NA,O.n,count (number),NA,primary,Carnivores & other companion mammals,number of other (non-neuronal) cells
Johnson_etal_2016,Johnson_etal_2016_Table1,n_specimens,NA,(structure-agnostic; see data columns),NA,Count,count (number),NA,info,Panthera tigris altaica and Neofelis nebulosa,number of specimens represented
Kochiyama_etal_2018,Kochiyama_etal_2018_ExtendedDataTable1,n_AAL_regions,NA,(structure-agnostic; see data columns),NA,count,count (number),NA,info,NA,number of AAL sub-regions in the parcel
Kverkova_etal_2018,Kverkova_etal_2018,N.n,NA,(structure-agnostic; see data columns),NA,N.n,count (number),NA,primary,Rodents (African mole-rats +),number of neurons
Lyamin_etal_2008,Lyamin_etal_2008_Table2,n_animals,NA,(structure-agnostic; see data columns),NA,Count,count (number),n,info,Cetacea (4 species),number of animals contributing to the species column
Navarrete_etal_2016,Navarrete_etal_2016_Data,technical_innovation_count,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,primary,Primates,reported innovations involving tool use
Navarrete_etal_2016,Navarrete_etal_2016_Data,nontechnical_innovation_count,NA,(structure-agnostic; see data columns),NA,Count,count (number),point,primary,Primates,reported innovations not involving tool use
