paper,column,quantity,basis,state,includes_olfactory_bulb,includes_meninges,includes_ventricles_csf,poolable_group,is_size,role,in_brain_mass_merge,merge_rows,merge_species,definition_quoted,definition_source,basis_evidence,basis_note,basis_statement,basis_statement_source
Manger__2006,brain_mass_g,mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,34,34,,source table caption/headers (PDF in the paper folder),quoted,"a mass compiled from other publications, whose fixation state the compiler does not report","Brain mass, body mass, encephalisation quotients, and water temperatures used in the analyses included in the present study",the source table's caption and column headers (PDF in the paper folder)
Nudo_etal_1995,Brain_Mass.mg,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,24,24,whole brain weight,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Olkowicz_etal_2016,whole_brain_mass_g,mass,mass_fixed,fixed,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,28,28,mean whole brain mass,paper methods (PDF in the paper folder),quoted,"weighed after fixation (perfusion and/or immersion), stated as such","Brains were removed, postfixed for an additional 7-21 d, and dissected into the cerebral hemispheres, cerebellum, diencephalon, tectum, and brainstem.",the paper's own prose (PDF in the paper folder)
Schleifenbaum__1973,brain_mass_mg,mass,mass_fresh_or_fixed_mixed,fresh_or_fixed,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,33,2,brain mass,paper methods (PDF in the paper folder),quoted,"the source's own specimens are a mix of fresh and fixed weights, stated as such and not distinguishable per row","Waehrend das Sammlungsmaterial in 4% Formol fixiert wurde, zog ich fuer das frischpraeparierte Pudelmaterial eine AFE-Fixierung vor",the paper's own prose (PDF in the paper folder)
Schleifenbaum__1973,total_brain_volume_mm3,volume,volume_fresh,fresh,unknown,unknown,yes,volume_fresh,TRUE,primary,FALSE,0,0,total fresh-brain-corrected volume,_keys/variable_catalog.csv,quoted,volume of the fresh brain,"Waehrend das Sammlungsmaterial in 4% Formol fixiert wurde, zog ich fuer das frischpraeparierte Pudelmaterial eine AFE-Fixierung vor",the paper's own prose (PDF in the paper folder)
Semendeferi_Damasio_2000,WholeBrain_Vol.mm3,volume,volume_mri,in_vivo,unknown,unknown,unknown,volume_mri,TRUE,primary,FALSE,0,0,whole-brain volume,paper methods (PDF in the paper folder),quoted,"volume segmented from MR images of a living brain: in vivo, no fixation or sectioning shrinkage","we applied a non-invasive imaging technique (magnetic resonance) on living human, great ape and lesser ape subjects",the paper's own prose (PDF in the paper folder)
Semendeferi_etal_1998,brain_volume_mm3,volume,volume_histological,fixed_sectioned,unknown,unknown,unknown,volume_histological,TRUE,primary,FALSE,0,0,total brain volume,paper methods (PDF in the paper folder),quoted,"volume measured on fixed, embedded, serially sectioned tissue; carries fixation and sectioning shrinkage unless corrected","Imaging techniques were used to characterize and quantify the microstructural organization of the area, and stereological tools were applied for estimates of the volume",the paper's own prose (PDF in the paper folder)
Semendeferi_etal_2001,brain_volume_mm3,volume,volume_histological,fixed_sectioned,unknown,unknown,unknown,volume_histological,TRUE,primary,FALSE,0,0,total brain volume,paper methods (PDF in the paper folder),quoted,"volume measured on fixed, embedded, serially sectioned tissue; carries fixation and sectioning shrinkage unless corrected",The volume of the cortical gray of area 10 was obtained from histological sections with the use of stereological techniques,the paper's own prose (PDF in the paper folder)
Seymour_etal_2015,Brain_volume_ml,endocranial_volume,endocranial_volume,unknown,yes,yes,yes,endocranial_volume,TRUE,primary,FALSE,0,0,brain (endocranial) volume in millilitres,_keys/variable_catalog.csv,quoted,"capacity of the braincase: brain plus meninges, CSF and vessels",,
Seymour_etal_2017,Brain_volume_cm3,endocranial_volume,endocranial_volume,unknown,yes,yes,yes,endocranial_volume,TRUE,primary,FALSE,0,0,brain (endocranial) volume in cm3 (= ml),_keys/variable_catalog.csv,quoted,"capacity of the braincase: brain plus meninges, CSF and vessels",,
Seymour_etal_2019,ECV_ml,endocranial_volume,endocranial_volume,unknown,yes,yes,yes,endocranial_volume,TRUE,primary,FALSE,0,0,endocranial volume in millilitres,_keys/variable_catalog.csv,quoted,"capacity of the braincase: brain plus meninges, CSF and vessels",,
Sherwood_etal_2003,brain_weight_g,mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,25,25,species mean brain weight from literature,_keys/variable_catalog.csv,quoted,"a mass compiled from other publications, whose fixation state the compiler does not report",,
Smaers_etal_2011,total_brain_volume_cm3,volume,volume_histological,fixed_sectioned,unknown,unknown,unknown,volume_histological,TRUE,both,FALSE,0,0,total brain volume (Table 1),paper methods (PDF in the paper folder),quoted,"volume measured on fixed, embedded, serially sectioned tissue; carries fixation and sectioning shrinkage unless corrected",differences in section inclination relative to the longitudinal axis across species inherent to the histological process,the paper's own prose (PDF in the paper folder)
Smaers_etal_2018,Brain_Vol.mm3,volume,volume_mri_or_histological_mixed,in_vivo_or_fixed,unknown,unknown,unknown,volume_mri_or_histological_mixed,TRUE,secondary,FALSE,0,0,whole-brain volume,paper methods (PDF in the paper folder),quoted,"one dataset combining in vivo MRI volumes with histological section volumes, not distinguishable per row",collected additional data using both histological sections (using similar delineation criteria as MacLeod et al. 2003] and MRI images,the paper's own prose (PDF in the paper folder)
Stephan_etal_1970,brain_weight_mg,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,126,62,brain weight,paper methods (PDF in the paper folder),quoted,"weighed fresh (unfixed) brain, stated as such by the source",The latter can be found by dividing the weight of the fresh brain by the specific brain weight.,the paper's own prose (PDF in the paper folder)
Stephan_etal_1981,Brain_weight,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,76,76,fresh brain weight,_keys/variable_catalog.csv,quoted,"weighed fresh (unfixed) brain, stated as such by the source",,
Stimpson_etal_2015,brain_mass_g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,14,2,,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Turner_etal_2016,brain_weight_g,mass,mass_fixed,fixed,unknown,unknown,unknown,mass_measured,TRUE,info,TRUE,6,4,whole brain mass as printed,paper methods (PDF in the paper folder),quoted,"weighed after fixation (perfusion and/or immersion), stated as such",All brains were perfused with 0.9% phosphate-buffered saline (PBS) and 2% paraformaldehyde.,the paper's own prose (PDF in the paper folder)
Weaver__2001,Brain_Mass.mg,mass,mass_from_volume_or_ecv,derived,unknown,unknown,unknown,mass_from_volume_or_ecv,TRUE,primary,TRUE,29,29,brain mass in project units (mg),folder definitions file,quoted,"not a weighed mass: computed from a measured brain volume, or from an endocranial volume, via a conversion factor",from measured brain volume (extant) or endocranial volume via Ruff et al. 1997 (fossils),"folder definitions file, Note column"
Young_etal_2013,brain_weight_g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,12,1,,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
deSousa_etal_2009,brain_mass_mg,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,9,7,fresh brain mass; printed in g and multiplied by 1000,_keys/variable_catalog.csv,quoted,"weighed fresh (unfixed) brain, stated as such by the source",,
deSousa_etal_2010,brain_mass_g,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,25,8,fresh brain mass,_keys/variable_catalog.csv,quoted,"weighed fresh (unfixed) brain, stated as such by the source",Measurements were taken on histological sections from a total of 29 brains representing seven hominoid species,the paper's own prose (PDF in the paper folder)
deSousa_etal_2010,brain_volume_cm3,volume,volume_histological,fixed_sectioned,unknown,unknown,unknown,volume_histological,TRUE,primary,FALSE,0,0,TOTAL fresh brain volume (includes ventricles and the Stephan code-4 tissues); not the net brain volume,paper methods (PDF in the paper folder),quoted,"volume measured on fixed, embedded, serially sectioned tissue; carries fixation and sectioning shrinkage unless corrected",Measurements were taken on histological sections from a total of 29 brains representing seven hominoid species,the paper's own prose (PDF in the paper folder)
deSousa_etal_2013,brain_weight_mg,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,19,19,Brain weight (Mass.mg),_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
